# Frequency (cm-1)	Intensity (arb. units)
0.00	0.000000e+00
1.33	1.000000e+00
2.67	2.005562e-01
4.00	7.157011e-05
5.34	7.652631e-05
6.67	5.501135e-05
8.01	3.598882e-05
9.34	2.486967e-05
10.67	1.841274e-05
12.01	1.448269e-05
13.34	1.195862e-05
14.68	1.025347e-05
16.01	9.048079e-06
17.35	8.161030e-06
18.68	7.484695e-06
20.01	6.952655e-06
21.35	6.522453e-06
22.68	6.166082e-06
24.02	5.864545e-06
25.35	5.604626e-06
26.69	5.376925e-06
28.02	5.174621e-06
29.35	4.992669e-06
30.69	4.827280e-06
32.02	4.675562e-06
33.36	4.535276e-06
34.69	4.404669e-06
36.02	4.282348e-06
37.36	4.167200e-06
38.69	4.058318e-06
40.03	3.954964e-06
41.36	3.856525e-06
42.70	3.762493e-06
44.03	3.672439e-06
45.36	3.586002e-06
46.70	3.502872e-06
48.03	3.422783e-06
49.37	3.345506e-06
50.70	3.270841e-06
52.04	3.198611e-06
53.37	3.128663e-06
54.70	3.060859e-06
56.04	2.995076e-06
57.37	2.931206e-06
58.71	2.869149e-06
60.04	2.808815e-06
61.38	2.750124e-06
62.71	2.693000e-06
64.04	2.637376e-06
65.38	2.583190e-06
66.71	2.530382e-06
68.05	2.478900e-06
69.38	2.428693e-06
70.72	2.379714e-06
72.05	2.331920e-06
73.38	2.285270e-06
74.72	2.239726e-06
76.05	2.195250e-06
77.39	2.151809e-06
78.72	2.109370e-06
80.06	2.067902e-06
81.39	2.027376e-06
82.72	1.987764e-06
84.06	1.949039e-06
85.39	1.911176e-06
86.73	1.874151e-06
88.06	1.837939e-06
89.40	1.802520e-06
90.73	1.767871e-06
92.06	1.733971e-06
93.40	1.700802e-06
94.73	1.668343e-06
96.07	1.636577e-06
97.40	1.605486e-06
98.73	1.575052e-06
100.07	1.545260e-06
101.40	1.516093e-06
102.74	1.487535e-06
104.07	1.459573e-06
105.41	1.432191e-06
106.74	1.405375e-06
108.07	1.379112e-06
109.41	1.353389e-06
110.74	1.328193e-06
112.08	1.303512e-06
113.41	1.279333e-06
114.75	1.255646e-06
116.08	1.232438e-06
117.41	1.209698e-06
118.75	1.187417e-06
120.08	1.165583e-06
121.42	1.144187e-06
122.75	1.123218e-06
124.09	1.102667e-06
125.42	1.082525e-06
126.75	1.062783e-06
128.09	1.043432e-06
129.42	1.024463e-06
130.76	1.005868e-06
132.09	9.876385e-07
133.43	9.697669e-07
134.76	9.522454e-07
136.09	9.350664e-07
137.43	9.182225e-07
138.76	9.017066e-07
140.10	8.855116e-07
141.43	8.696306e-07
142.77	8.540572e-07
144.10	8.387846e-07
145.43	8.238066e-07
146.77	8.091170e-07
148.10	7.947097e-07
149.44	7.805788e-07
150.77	7.667186e-07
152.11	7.531233e-07
153.44	7.397876e-07
154.77	7.267060e-07
156.11	7.138733e-07
157.44	7.012844e-07
158.78	6.889342e-07
160.11	6.768179e-07
161.45	6.649306e-07
162.78	6.532678e-07
164.11	6.418247e-07
165.45	6.305970e-07
166.78	6.195803e-07
168.12	6.087703e-07
169.45	5.981629e-07
170.78	5.877539e-07
172.12	5.775394e-07
173.45	5.675154e-07
174.79	5.576782e-07
176.12	5.480240e-07
177.46	5.385492e-07
178.79	5.292501e-07
180.12	5.201233e-07
181.46	5.111654e-07
182.79	5.023731e-07
184.13	4.937429e-07
185.46	4.852718e-07
186.80	4.769567e-07
188.13	4.687943e-07
189.46	4.607818e-07
190.80	4.529162e-07
192.13	4.451946e-07
193.47	4.376142e-07
194.80	4.301723e-07
196.14	4.228661e-07
197.47	4.156930e-07
198.80	4.086504e-07
200.14	4.017358e-07
201.47	3.949467e-07
202.81	3.882807e-07
204.14	3.817353e-07
205.48	3.753084e-07
206.81	3.689975e-07
208.14	3.628005e-07
209.48	3.567151e-07
210.81	3.507392e-07
212.15	3.448708e-07
213.48	3.391077e-07
214.82	3.334480e-07
216.15	3.278896e-07
217.48	3.224307e-07
