frame, mode, freq_cmiv, factor, scale, energy_Ha, dE_kcal, status
1, 25, 3049, +0.1250, fine, -306.21010605, -0.0, OK
2, 25, 3049, -0.1250, fine, -306.21013415, -0.0, OK
3, 25, 3049, +0.2500, fine, -306.21004772, 0.0, OK
4, 25, 3049, -0.2500, fine, -306.21010290, -0.0, OK
5, 25, 3049, +0.3750, fine, -306.20996055, 0.1, OK
6, 25, 3049, -0.3750, fine, -306.21004076, 0.0, OK
7, 25, 3049, +0.5000, fine, -306.20984504, 0.2, OK
8, 25, 3049, -0.5000, fine, -306.20994718, 0.1, OK
9, 25, 3049, +0.6250, fine, -306.20970169, 0.2, OK
10, 25, 3049, -0.6250, fine, -306.20982162, 0.2, OK
11, 25, 3049, +0.7500, fine, -306.20953092, 0.4, OK
12, 25, 3049, -0.7500, fine, -306.20966353, 0.3, OK
13, 25, 3049, +0.8750, fine, -306.20933325, 0.5, OK
14, 25, 3049, -0.8750, fine, -306.20947230, 0.4, OK
15, 25, 3049, +1.0000, fine, -306.20910912, 0.6, OK
16, 25, 3049, -1.0000, fine, -306.20924740, 0.5, OK
17, 25, 3049, +0.7500, medium, -306.20829675, 1.1, OK
18, 25, 3049, -0.7500, medium, -306.20838057, 1.1, OK
19, 25, 3049, +0.9375, medium, -306.20735094, 1.7, OK
20, 25, 3049, -0.9375, medium, -306.20729637, 1.8, OK
21, 25, 3049, +1.1250, medium, -306.20622856, 2.4, OK
22, 25, 3049, -1.1250, medium, -306.20592888, 2.6, OK
23, 25, 3049, +1.3125, medium, -306.20493796, 3.2, OK
24, 25, 3049, -1.3125, medium, -306.20426461, 3.7, OK
25, 25, 3049, +1.5000, medium, -306.20348694, 4.1, OK
26, 25, 3049, -1.5000, medium, -306.20228933, 4.9, OK
27, 25, 3049, +0.5000, coarse, -306.20848740, 1.0, OK
28, 25, 3049, -0.5000, coarse, -306.20859016, 0.9, OK
29, 25, 3049, +1.0000, coarse, -306.20417022, 3.7, OK
30, 25, 3049, -1.0000, coarse, -306.20323258, 4.3, OK
31, 25, 3049, +1.5000, coarse, -306.19762568, 7.8, OK
32, 25, 3049, -1.5000, coarse, -306.19332790, 10.5, OK
33, 25, 3049, +2.0000, coarse, -306.18922825, 13.1, OK
34, 25, 3049, -2.0000, coarse, -306.17800524, 20.1, OK
35, 26, 3100, +0.1250, fine, -306.21012002, -0.0, OK
36, 26, 3100, -0.1250, fine, -306.21012001, -0.0, OK
37, 26, 3100, +0.2500, fine, -306.21007496, 0.0, OK
38, 26, 3100, -0.2500, fine, -306.21007497, 0.0, OK
39, 26, 3100, +0.3750, fine, -306.20999983, 0.1, OK
40, 26, 3100, -0.3750, fine, -306.20999985, 0.1, OK
41, 26, 3100, +0.5000, fine, -306.20989466, 0.1, OK
42, 26, 3100, -0.5000, fine, -306.20989463, 0.1, OK
43, 26, 3100, +0.6250, fine, -306.20975933, 0.2, OK
44, 26, 3100, -0.6250, fine, -306.20975930, 0.2, OK
45, 26, 3100, +0.7500, fine, -306.20959377, 0.3, OK
46, 26, 3100, -0.7500, fine, -306.20959378, 0.3, OK
47, 26, 3100, +0.8750, fine, -306.20939798, 0.4, OK
48, 26, 3100, -0.8750, fine, -306.20939797, 0.4, OK
49, 26, 3100, +1.0000, fine, -306.20917183, 0.6, OK
50, 26, 3100, -1.0000, fine, -306.20917186, 0.6, OK
51, 26, 3100, +0.7500, medium, -306.20832556, 1.1, OK
52, 26, 3100, -0.7500, medium, -306.20832553, 1.1, OK
53, 26, 3100, +0.9375, medium, -306.20730123, 1.8, OK
54, 26, 3100, -0.9375, medium, -306.20730124, 1.8, OK
55, 26, 3100, +1.1250, medium, -306.20604304, 2.5, OK
56, 26, 3100, -1.1250, medium, -306.20604302, 2.5, OK
57, 26, 3100, +1.3125, medium, -306.20454723, 3.5, OK
58, 26, 3100, -1.3125, medium, -306.20454725, 3.5, OK
59, 26, 3100, +1.5000, medium, -306.20280924, 4.6, OK
60, 26, 3100, -1.5000, medium, -306.20280926, 4.6, OK
61, 26, 3100, +0.5000, coarse, -306.20852733, 1.0, OK
62, 26, 3100, -0.5000, coarse, -306.20852732, 1.0, OK
63, 26, 3100, +1.0000, coarse, -306.20363482, 4.1, OK
64, 26, 3100, -1.0000, coarse, -306.20363478, 4.1, OK
65, 26, 3100, +1.5000, coarse, -306.19524745, 9.3, OK
66, 26, 3100, -1.5000, coarse, -306.19524745, 9.3, OK
67, 26, 3100, +2.0000, coarse, -306.18300798, 17.0, OK
68, 26, 3100, -2.0000, coarse, -306.18300800, 17.0, OK
69, 27, 3163, +0.1250, fine, -306.21011811, -0.0, OK
70, 27, 3163, -0.1250, fine, -306.21012187, -0.0, OK
71, 27, 3163, +0.2500, fine, -306.21007163, 0.0, OK
72, 27, 3163, -0.2500, fine, -306.21007823, 0.0, OK
73, 27, 3163, +0.3750, fine, -306.20999602, 0.1, OK
74, 27, 3163, -0.3750, fine, -306.21000357, 0.1, OK
75, 27, 3163, +0.5000, fine, -306.20989172, 0.1, OK
76, 27, 3163, -0.5000, fine, -306.20989739, 0.1, OK
77, 27, 3163, +0.6250, fine, -306.20975919, 0.2, OK
78, 27, 3163, -0.6250, fine, -306.20975924, 0.2, OK
79, 27, 3163, +0.7500, fine, -306.20959883, 0.3, OK
80, 27, 3163, -0.7500, fine, -306.20958854, 0.3, OK
81, 27, 3163, +0.8750, fine, -306.20941107, 0.4, OK
82, 27, 3163, -0.8750, fine, -306.20938480, 0.4, OK
83, 27, 3163, +1.0000, fine, -306.20919632, 0.6, OK
84, 27, 3163, -1.0000, fine, -306.20914748, 0.6, OK
85, 27, 3163, +0.9375, medium, -306.20747866, 1.6, OK
86, 27, 3163, -1.1250, medium, -306.20573192, 2.7, OK
87, 27, 3163, +1.3125, medium, -306.20507658, 3.2, OK
88, 27, 3163, +1.5000, medium, -306.20361745, 4.1, OK
89, 27, 3163, -1.5000, medium, -306.20204085, 5.1, OK
90, 27, 3163, +1.0000, coarse, -306.20430572, 3.6, OK
