# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_anti_cis_2000K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_anti_cis_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 30.0 cm-1
# # frequency_cm-1,intensity_normalized
0.000000000000000000e+00,2.992828518679177627e-03
1.000000000000000000e+00,3.002168155021736271e-03
2.000000000000000000e+00,3.011559391508599002e-03
3.000000000000000000e+00,3.021002673021492332e-03
4.000000000000000000e+00,3.030498449932982324e-03
5.000000000000000000e+00,3.040047178196954303e-03
6.000000000000000000e+00,3.049649319440921828e-03
7.000000000000000000e+00,3.059305341060357050e-03
8.000000000000000000e+00,3.069015716314931006e-03
9.000000000000000000e+00,3.078780924426780061e-03
1.000000000000000000e+01,3.088601450680942499e-03
1.100000000000000000e+01,3.098477786527864628e-03
1.200000000000000000e+01,3.108410429688071401e-03
1.300000000000000000e+01,3.118399884259168489e-03
1.400000000000000000e+01,3.128446660825122492e-03
1.500000000000000000e+01,3.138551276567884754e-03
1.600000000000000000e+01,3.148714255381471986e-03
1.700000000000000000e+01,3.158936127988571773e-03
1.800000000000000000e+01,3.169217432059617031e-03
1.900000000000000000e+01,3.179558712334669846e-03
2.000000000000000000e+01,3.189960520747791607e-03
2.100000000000000000e+01,3.200423416554404668e-03
2.200000000000000000e+01,3.210947966461296429e-03
2.300000000000000000e+01,3.221534744759770637e-03
2.400000000000000000e+01,3.232184333461638002e-03
2.500000000000000000e+01,3.242897322438412569e-03
2.600000000000000000e+01,3.253674309563617598e-03
2.700000000000000000e+01,3.264515900858418630e-03
2.800000000000000000e+01,3.275422710640576388e-03
2.900000000000000000e+01,3.286395361676902951e-03
3.000000000000000000e+01,3.297434485339236377e-03
3.100000000000000000e+01,3.308540721764077763e-03
3.200000000000000000e+01,3.319714720016036028e-03
3.300000000000000000e+01,3.330957138255073897e-03
3.400000000000000000e+01,3.342268643907803614e-03
3.500000000000000000e+01,3.353649913842840589e-03
3.600000000000000000e+01,3.365101634550430980e-03
3.700000000000000000e+01,3.376624502326331951e-03
3.800000000000000000e+01,3.388219223460299349e-03
3.900000000000000000e+01,3.399886514429050974e-03
4.000000000000000000e+01,3.411627102094119159e-03
4.100000000000000000e+01,3.423441723904448696e-03
4.200000000000000000e+01,3.435331128104159894e-03
4.300000000000000000e+01,3.447296073945454661e-03
4.400000000000000000e+01,3.459337331906877679e-03
4.500000000000000000e+01,3.471455683917127819e-03
4.600000000000000000e+01,3.483651923584550787e-03
4.700000000000000000e+01,3.495926856432513344e-03
4.800000000000000000e+01,3.508281300140868135e-03
4.900000000000000000e+01,3.520716084793586772e-03
5.000000000000000000e+01,3.533232053133029092e-03
5.100000000000000000e+01,3.545830060820686844e-03
5.200000000000000000e+01,3.558510976704926543e-03
5.300000000000000000e+01,3.571275683095853810e-03
5.400000000000000000e+01,3.584125076047492593e-03
5.500000000000000000e+01,3.597060065647557283e-03
5.600000000000000000e+01,3.610081576315137333e-03
5.700000000000000000e+01,3.623190547106430997e-03
5.800000000000000000e+01,3.636387932028905048e-03
5.900000000000000000e+01,3.649674700364246085e-03
6.000000000000000000e+01,3.663051837000112082e-03
6.100000000000000000e+01,3.676520342771411043e-03
6.200000000000000000e+01,3.690081234811052550e-03
6.300000000000000000e+01,3.703735546910834862e-03
6.400000000000000000e+01,3.717484329892601583e-03
6.500000000000000000e+01,3.731328651990171823e-03
6.600000000000000000e+01,3.745269599242387771e-03
6.700000000000000000e+01,3.759308275897785354e-03
6.800000000000000000e+01,3.773445804831214098e-03
6.900000000000000000e+01,3.787683327972896693e-03
7.000000000000000000e+01,3.802022006750483806e-03
7.100000000000000000e+01,3.816463022544579458e-03
7.200000000000000000e+01,3.831007577158192755e-03
7.300000000000000000e+01,3.845656893300869721e-03
7.400000000000000000e+01,3.860412215087884267e-03
7.500000000000000000e+01,3.875274808555268478e-03
7.600000000000000000e+01,3.890245962191406053e-03
7.700000000000000000e+01,3.905326987485644667e-03
7.800000000000000000e+01,3.920519219494970724e-03
7.900000000000000000e+01,3.935824017429397428e-03
8.000000000000000000e+01,3.951242765256902760e-03
8.100000000000000000e+01,3.966776872328907008e-03
8.200000000000000000e+01,3.982427774027108222e-03
8.300000000000000000e+01,3.998196932432894653e-03
8.400000000000000000e+01,4.014085837020296525e-03
8.500000000000000000e+01,4.030096005373546598e-03
8.600000000000000000e+01,4.046228983930738772e-03
8.700000000000000000e+01,4.062486348754732260e-03
8.800000000000000000e+01,4.078869706332671763e-03
8.900000000000000000e+01,4.095380694405804586e-03
9.000000000000000000e+01,4.112020982830963400e-03
9.100000000000000000e+01,4.128792274475647124e-03
9.200000000000000000e+01,4.145696306148118071e-03
9.300000000000000000e+01,4.162734849564847690e-03
9.400000000000000000e+01,4.179909712356851340e-03
9.500000000000000000e+01,4.197222739117019777e-03
9.600000000000000000e+01,4.214675812490483939e-03
9.700000000000000000e+01,4.232270854309967169e-03
9.800000000000000000e+01,4.250009826777859621e-03
9.900000000000000000e+01,4.267894733696689716e-03
1.000000000000000000e+02,4.285927621749265927e-03
1.010000000000000000e+02,4.304110581828892237e-03
1.020000000000000000e+02,4.322445750419597402e-03
1.030000000000000000e+02,4.340935311024392632e-03
1.040000000000000000e+02,4.359581495638232239e-03
1.050000000000000000e+02,4.378386586259254420e-03
1.060000000000000000e+02,4.397352916428233852e-03
1.070000000000000000e+02,4.416482872781322261e-03
1.080000000000000000e+02,4.435778896594008702e-03
1.090000000000000000e+02,4.455243485285562827e-03
1.100000000000000000e+02,4.474879193841144707e-03
1.110000000000000000e+02,4.494688636094062127e-03
1.120000000000000000e+02,4.514674485791865706e-03
1.130000000000000000e+02,4.534839477347586516e-03
1.140000000000000000e+02,4.555186406152112941e-03
1.150000000000000000e+02,4.575718128296698238e-03
1.160000000000000000e+02,4.596437559530576478e-03
1.170000000000000000e+02,4.617347673264854402e-03
1.180000000000000000e+02,4.638451497441738007e-03
1.190000000000000000e+02,4.659752110137110881e-03
1.200000000000000000e+02,4.681252633879535129e-03
1.210000000000000000e+02,4.702956228881247612e-03
1.220000000000000000e+02,4.724866085715953741e-03
1.230000000000000000e+02,4.746985418461750934e-03
1.240000000000000000e+02,4.769317459928161008e-03
1.250000000000000000e+02,4.791865461212686285e-03
1.260000000000000000e+02,4.814632698281571567e-03
1.270000000000000000e+02,4.837622488245969452e-03
1.280000000000000000e+02,4.860838217162477375e-03
1.290000000000000000e+02,4.884283379309109843e-03
1.300000000000000000e+02,4.907961625091565930e-03
1.310000000000000000e+02,4.931876811666922010e-03
1.320000000000000000e+02,4.956033048140599459e-03
1.330000000000000000e+02,4.980434726968511160e-03
1.340000000000000000e+02,5.005086535558029084e-03
1.350000000000000000e+02,5.029993446502943957e-03
1.360000000000000000e+02,5.055160689901537323e-03
1.370000000000000000e+02,5.080593714992712173e-03
1.380000000000000000e+02,5.106298149721623554e-03
1.390000000000000000e+02,5.132279765745392450e-03
1.400000000000000000e+02,5.158544453695752992e-03
1.410000000000000000e+02,5.185098210439823517e-03
1.420000000000000000e+02,5.211947137589867211e-03
1.430000000000000000e+02,5.239097449037756482e-03
1.440000000000000000e+02,5.266555484798378546e-03
1.450000000000000000e+02,5.294327728643562735e-03
1.460000000000000000e+02,5.322420827557372038e-03
1.470000000000000000e+02,5.350841611679314248e-03
1.480000000000000000e+02,5.379597113967108171e-03
1.490000000000000000e+02,5.408694589240574217e-03
1.500000000000000000e+02,5.438141532557626105e-03
1.510000000000000000e+02,5.467945697045405000e-03
1.520000000000000000e+02,5.498115111395285824e-03
1.530000000000000000e+02,5.528658097257823853e-03
1.540000000000000000e+02,5.559583286767103873e-03
1.550000000000000000e+02,5.590899640395101400e-03
1.560000000000000000e+02,5.622616465297627236e-03
1.570000000000000000e+02,5.654743434265524851e-03
1.580000000000000000e+02,5.687290605341665042e-03
1.590000000000000000e+02,5.720268442103108170e-03
1.600000000000000000e+02,5.753687834537284281e-03
1.610000000000000000e+02,5.787560120359812148e-03
1.620000000000000000e+02,5.821897106525354866e-03
1.630000000000000000e+02,5.856711090577676991e-03
1.640000000000000000e+02,5.892014881371557440e-03
1.650000000000000000e+02,5.927821818596277353e-03
1.660000000000000000e+02,5.964145790462952595e-03
1.670000000000000000e+02,6.001001248937590758e-03
1.680000000000000000e+02,6.038403222079755106e-03
1.690000000000000000e+02,6.076367323494580135e-03
1.700000000000000000e+02,6.114909759755243063e-03
1.710000000000000000e+02,6.154047338049756753e-03
1.720000000000000000e+02,6.193797478343660706e-03
1.730000000000000000e+02,6.234178236981212373e-03
1.740000000000000000e+02,6.275208351536033791e-03
1.750000000000000000e+02,6.316907319092937047e-03
1.760000000000000000e+02,6.359295520725438515e-03
1.770000000000000000e+02,6.402394402153844567e-03
1.780000000000000000e+02,6.446226713146784894e-03
1.790000000000000000e+02,6.490816796159547958e-03
1.800000000000000000e+02,6.536190900206761446e-03
1.810000000000000000e+02,6.582377483613730158e-03
1.820000000000000000e+02,6.629407464589345648e-03
1.830000000000000000e+02,6.677314385140145636e-03
1.840000000000000000e+02,6.726134470779188135e-03
1.850000000000000000e+02,6.775906589807026946e-03
1.860000000000000000e+02,6.826672133229270273e-03
1.870000000000000000e+02,6.878474842940772611e-03
1.880000000000000000e+02,6.931360609743243868e-03
1.890000000000000000e+02,6.985377247020722533e-03
1.900000000000000000e+02,7.040574225891852930e-03
1.910000000000000000e+02,7.097002338435803512e-03
1.920000000000000000e+02,7.154713240271443411e-03
1.930000000000000000e+02,7.213758813665972075e-03
1.940000000000000000e+02,7.274190288159189041e-03
1.950000000000000000e+02,7.336057058909246399e-03
1.960000000000000000e+02,7.399405157000236988e-03
1.970000000000000000e+02,7.464275356606222232e-03
1.980000000000000000e+02,7.530700959075970098e-03
1.990000000000000000e+02,7.598705382034822049e-03
