# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_nm_dipole_anti_cis_300K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_anti_cis_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 15.0 cm-1
# # frequency_cm-1,intensity_normalized
0.000000000000000000e+00,1.481174978364846418e-03
1.000000000000000000e+00,1.485823151857810012e-03
2.000000000000000000e+00,1.490500846987543541e-03
3.000000000000000000e+00,1.495208398599944108e-03
4.000000000000000000e+00,1.499946147610575287e-03
5.000000000000000000e+00,1.504714441162872170e-03
6.000000000000000000e+00,1.509513632791858713e-03
7.000000000000000000e+00,1.514344082593529605e-03
8.000000000000000000e+00,1.519206157400104394e-03
9.000000000000000000e+00,1.524100230961543748e-03
1.000000000000000000e+01,1.529026684133403527e-03
1.100000000000000000e+01,1.533985905071534725e-03
1.200000000000000000e+01,1.538978289433701489e-03
1.300000000000000000e+01,1.544004240588623756e-03
1.400000000000000000e+01,1.549064169832650934e-03
1.500000000000000000e+01,1.554158496614458252e-03
1.600000000000000000e+01,1.559287648768131361e-03
1.700000000000000000e+01,1.564452062755022996e-03
1.800000000000000000e+01,1.569652183914806501e-03
1.900000000000000000e+01,1.574888466726117372e-03
2.000000000000000000e+01,1.580161375077259248e-03
2.100000000000000000e+01,1.585471382547479994e-03
2.200000000000000000e+01,1.590818972699247890e-03
2.300000000000000000e+01,1.596204639382189710e-03
2.400000000000000000e+01,1.601628887049070821e-03
2.500000000000000000e+01,1.607092231084646713e-03
2.600000000000000000e+01,1.612595198147789713e-03
2.700000000000000000e+01,1.618138326527730720e-03
2.800000000000000000e+01,1.623722166515029815e-03
2.900000000000000000e+01,1.629347280788067884e-03
3.000000000000000000e+01,1.635014244815874993e-03
3.100000000000000000e+01,1.640723647278043195e-03
3.200000000000000000e+01,1.646476090502773694e-03
3.300000000000000000e+01,1.652272190923858306e-03
3.400000000000000000e+01,1.658112579557733399e-03
3.500000000000000000e+01,1.663997902501570180e-03
3.600000000000000000e+01,1.669928821453615627e-03
3.700000000000000000e+01,1.675906014257005743e-03
3.800000000000000000e+01,1.681930175468283450e-03
3.900000000000000000e+01,1.688002016952042930e-03
4.000000000000000000e+01,1.694122268503181440e-03
4.100000000000000000e+01,1.700291678498250247e-03
4.200000000000000000e+01,1.706511014577668899e-03
4.300000000000000000e+01,1.712781064360547733e-03
4.400000000000000000e+01,1.719102636193925579e-03
4.500000000000000000e+01,1.725476559938687740e-03
4.600000000000000000e+01,1.731903687794000704e-03
4.700000000000000000e+01,1.738384895162953464e-03
4.800000000000000000e+01,1.744921081561584498e-03
4.900000000000000000e+01,1.751513171574190300e-03
5.000000000000000000e+01,1.758162115857578051e-03
5.100000000000000000e+01,1.764868892197477088e-03
5.200000000000000000e+01,1.771634506620330552e-03
5.300000000000000000e+01,1.778459994563960731e-03
5.400000000000000000e+01,1.785346422111007978e-03
5.500000000000000000e+01,1.792294887289118096e-03
5.600000000000000000e+01,1.799306521442290904e-03
5.700000000000000000e+01,1.806382490678171094e-03
5.800000000000000000e+01,1.813523997396348066e-03
5.900000000000000000e+01,1.820732281903078174e-03
6.000000000000000000e+01,1.828008624118537557e-03
6.100000000000000000e+01,1.835354345382793090e-03
6.200000000000000000e+01,1.842770810367638746e-03
6.300000000000000000e+01,1.850259429101613114e-03
6.400000000000000000e+01,1.857821659116340018e-03
6.500000000000000000e+01,1.865459007723167025e-03
6.600000000000000000e+01,1.873173034429299801e-03
6.700000000000000000e+01,1.880965353504135320e-03
6.800000000000000000e+01,1.888837636706728555e-03
6.900000000000000000e+01,1.896791616186894796e-03
7.000000000000000000e+01,1.904829087573045848e-03
7.100000000000000000e+01,1.912951913261346512e-03
7.200000000000000000e+01,1.921162025922028760e-03
7.300000000000000000e+01,1.929461432240098901e-03
7.400000000000000000e+01,1.937852216909273853e-03
7.500000000000000000e+01,1.946336546899727661e-03
7.600000000000000000e+01,1.954916676022504154e-03
7.700000000000000000e+01,1.963594949814917619e-03
7.800000000000000000e+01,1.972373810774515155e-03
7.900000000000000000e+01,1.981255803971222404e-03
8.000000000000000000e+01,1.990243583070522466e-03
8.100000000000000000e+01,1.999339916803859977e-03
8.200000000000000000e+01,2.008547695926057950e-03
8.300000000000000000e+01,2.017869940703764277e-03
8.400000000000000000e+01,2.027309808983363514e-03
8.500000000000000000e+01,2.036870604892405782e-03
8.600000000000000000e+01,2.046555788233717695e-03
8.700000000000000000e+01,2.056368984638556711e-03
8.800000000000000000e+01,2.066313996552147404e-03
8.900000000000000000e+01,2.076394815133119059e-03
9.000000000000000000e+01,2.086615633157904576e-03
9.100000000000000000e+01,2.096980859031628407e-03
9.200000000000000000e+01,2.107495132018654283e-03
9.300000000000000000e+01,2.118163338820008238e-03
9.400000000000000000e+01,2.128990631639441581e-03
