# Equilibrium harmonic reference (FWHM=10 cm-1)
# # frequency_cm-1,intensity_normalized
0.000000000000000000e+00,1.672042950654968043e-03
1.000000000000000000e+00,1.730903514336281680e-03
2.000000000000000000e+00,1.793991351074035717e-03
3.000000000000000000e+00,1.861727119771071619e-03
4.000000000000000000e+00,1.934583795281201272e-03
5.000000000000000000e+00,2.013094354234426508e-03
6.000000000000000000e+00,2.097860735613366230e-03
7.000000000000000000e+00,2.189564302957318267e-03
8.000000000000000000e+00,2.288978074825145318e-03
9.000000000000000000e+00,2.396981035125880788e-03
1.000000000000000000e+01,2.514574884500057287e-03
1.100000000000000000e+01,2.642903646348610316e-03
1.200000000000000000e+01,2.783276592659246224e-03
1.300000000000000000e+01,2.937194998515515239e-03
1.400000000000000000e+01,3.106383257781607579e-03
1.500000000000000000e+01,3.292824874945233637e-03
1.600000000000000000e+01,3.498803754570776071e-03
1.700000000000000000e+01,3.726950983313448602e-03
1.800000000000000000e+01,3.980296848470806122e-03
1.900000000000000000e+01,4.262327016701227857e-03
2.000000000000000000e+01,4.577040380874130079e-03
2.100000000000000000e+01,4.929003726172219955e-03
2.200000000000000000e+01,5.323394551979333290e-03
2.300000000000000000e+01,5.766017369125618977e-03
2.400000000000000000e+01,6.263269557367504708e-03
2.500000000000000000e+01,6.822019159614024601e-03
2.600000000000000000e+01,7.449337548319823893e-03
2.700000000000000000e+01,8.152004184944007179e-03
2.800000000000000000e+01,8.935670589596033178e-03
2.900000000000000000e+01,9.803543893748063037e-03
3.000000000000000000e+01,1.075444644860366547e-02
3.100000000000000000e+01,1.178016582698338498e-02
3.200000000000000000e+01,1.286219195613867890e-02
3.300000000000000000e+01,1.396831769112752940e-02
3.400000000000000000e+01,1.505017830712151831e-02
3.500000000000000000e+01,1.604346847512764726e-02
3.600000000000000000e+01,1.687282540226507990e-02
3.700000000000000000e+01,1.746246851448405094e-02
3.800000000000000000e+01,1.775122211844382819e-02
3.900000000000000000e+01,1.770737319916456873e-02
