# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_syn_trans_300K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_syn_trans_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 15.0 cm-1
# # frequency_cm-1,intensity_normalized
0.000000000000000000e+00,1.780218798430877047e-03
1.000000000000000000e+00,1.790270649865140706e-03
2.000000000000000000e+00,1.800478719906285731e-03
3.000000000000000000e+00,1.810847250959224950e-03
4.000000000000000000e+00,1.821380645713760720e-03
5.000000000000000000e+00,1.832083474835631293e-03
6.000000000000000000e+00,1.842960485105364123e-03
7.000000000000000000e+00,1.854016608035607971e-03
8.000000000000000000e+00,1.865256969000135805e-03
9.000000000000000000e+00,1.876686896910334220e-03
1.000000000000000000e+01,1.888311934477877180e-03
1.100000000000000000e+01,1.900137849105379417e-03
1.200000000000000000e+01,1.912170644450469914e-03
1.300000000000000000e+01,1.924416572712227443e-03
1.400000000000000000e+01,1.936882147693286000e-03
1.500000000000000000e+01,1.949574158695277981e-03
1.600000000000000000e+01,1.962499685310407308e-03
1.700000000000000000e+01,1.975666113177070200e-03
1.800000000000000000e+01,1.989081150774010646e-03
1.900000000000000000e+01,2.002752847333233964e-03
2.000000000000000000e+01,2.016689611960042865e-03
2.100000000000000000e+01,2.030900234055809436e-03
2.200000000000000000e+01,2.045393905148309554e-03
2.300000000000000000e+01,2.060180242243983550e-03
2.400000000000000000e+01,2.075269312827309875e-03
2.500000000000000000e+01,2.090671661644277236e-03
2.600000000000000000e+01,2.106398339420067350e-03
2.700000000000000000e+01,2.122460933675894904e-03
2.800000000000000000e+01,2.138871601825752516e-03
2.900000000000000000e+01,2.155643106752142338e-03
3.000000000000000000e+01,2.172788855079781870e-03
3.100000000000000000e+01,2.190322938388569295e-03
3.200000000000000000e+01,2.208260177632113529e-03
3.300000000000000000e+01,2.226616171055712835e-03
3.400000000000000000e+01,2.245407345939266427e-03
3.500000000000000000e+01,2.264651014524833063e-03
3.600000000000000000e+01,2.284365434528121824e-03
3.700000000000000000e+01,2.304569874677119164e-03
3.800000000000000000e+01,2.325284685769918661e-03
3.900000000000000000e+01,2.346531377800310358e-03
4.000000000000000000e+01,2.368332703761556746e-03
4.100000000000000000e+01,2.390712750810504612e-03
4.200000000000000000e+01,2.413697039553760245e-03
