# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-06-05T11:33:29.716321
frequency_cm-1,intensity_normalized
0.1770,0.00000001
0.3539,0.00000005
0.5309,0.00000011
0.7078,0.00000018
0.8848,0.00000025
1.0618,0.00000028
1.2387,0.00000027
1.4157,0.00000023
1.5927,0.00000018
1.7696,0.00000014
1.9466,0.00000012
2.1235,0.00000011
2.3005,0.00000010
2.4775,0.00000009
2.6544,0.00000007
2.8314,0.00000005
3.0083,0.00000004
3.1853,0.00000003
3.3623,0.00000003
3.5392,0.00000003
3.7162,0.00000003
3.8931,0.00000004
4.0701,0.00000004
4.2471,0.00000004
4.4240,0.00000003
4.6010,0.00000002
4.7780,0.00000001
4.9549,0.00000001
5.1319,0.00000002
5.3088,0.00000003
5.4858,0.00000004
5.6628,0.00000004
5.8397,0.00000004
6.0167,0.00000003
6.1936,0.00000002
6.3706,0.00000001
6.5476,0.00000001
6.7245,0.00000002
6.9015,0.00000003
7.0784,0.00000003
7.2554,0.00000003
7.4324,0.00000003
7.6093,0.00000002
7.7863,0.00000001
7.9633,0.00000001
8.1402,0.00000001
8.3172,0.00000001
8.4941,0.00000002
8.6711,0.00000002
8.8481,0.00000002
9.0250,0.00000002
9.2020,0.00000003
9.3789,0.00000005
9.5559,0.00000009
9.7329,0.00000015
9.9098,0.00000021
10.0868,0.00000025
10.2638,0.00000026
10.4407,0.00000023
10.6177,0.00000019
10.7946,0.00000015
10.9716,0.00000012
11.1486,0.00000011
11.3255,0.00000011
11.5025,0.00000011
11.6794,0.00000010
11.8564,0.00000009
12.0334,0.00000009
12.2103,0.00000010
12.3873,0.00000011
12.5642,0.00000012
12.7412,0.00000012
12.9182,0.00000010
13.0951,0.00000008
13.2721,0.00000008
13.4491,0.00000009
13.6260,0.00000011
13.8030,0.00000014
13.9799,0.00000015
14.1569,0.00000015
14.3339,0.00000013
14.5108,0.00000011
14.6878,0.00000009
14.8647,0.00000009
15.0417,0.00000009
15.2187,0.00000011
15.3956,0.00000015
15.5726,0.00000023
15.7496,0.00000033
15.9265,0.00000042
16.1035,0.00000046
16.2804,0.00000044
16.4574,0.00000036
16.6344,0.00000027
16.8113,0.00000022
16.9883,0.00000022
17.1652,0.00000023
17.3422,0.00000024
17.5192,0.00000023
17.6961,0.00000021
17.8731,0.00000020
18.0500,0.00000022
18.2270,0.00000024
18.4040,0.00000025
18.5809,0.00000023
18.7579,0.00000021
18.9349,0.00000018
19.1118,0.00000019
19.2888,0.00000026
19.4657,0.00000043
19.6427,0.00000074
19.8197,0.00000123
19.9966,0.00000190
20.1736,0.00000275
20.3505,0.00000376
20.5275,0.00000492
20.7045,0.00000621
20.8814,0.00000752
21.0584,0.00000869
21.2353,0.00000944
21.4123,0.00000951
21.5893,0.00000876
21.7662,0.00000729
21.9432,0.00000547
22.1202,0.00000374
22.2971,0.00000250
22.4741,0.00000186
22.6510,0.00000172
22.8280,0.00000180
23.0050,0.00000186
23.1819,0.00000177
23.3589,0.00000157
23.5358,0.00000136
23.7128,0.00000121
23.8898,0.00000113
24.0667,0.00000108
24.2437,0.00000105
24.4207,0.00000102
24.5976,0.00000100
24.7746,0.00000097
24.9515,0.00000091
25.1285,0.00000083
25.3055,0.00000074
25.4824,0.00000067
25.6594,0.00000061
25.8363,0.00000057
26.0133,0.00000054
26.1903,0.00000053
26.3672,0.00000050
26.5442,0.00000044
26.7211,0.00000035
26.8981,0.00000026
27.0751,0.00000018
27.2520,0.00000012
27.4290,0.00000009
27.6060,0.00000008
27.7829,0.00000009
27.9599,0.00000012
28.1368,0.00000015
28.3138,0.00000018
28.4908,0.00000020
28.6677,0.00000021
28.8447,0.00000021
29.0216,0.00000020
29.1986,0.00000020
29.3756,0.00000019
29.5525,0.00000020
29.7295,0.00000020
29.9065,0.00000020
30.0834,0.00000020
30.2604,0.00000019
30.4373,0.00000019
30.6143,0.00000020
30.7913,0.00000020
30.9682,0.00000020
31.1452,0.00000019
31.3221,0.00000018
31.4991,0.00000020
31.6761,0.00000026
31.8530,0.00000037
32.0300,0.00000052
32.2069,0.00000068
32.3839,0.00000081
32.5609,0.00000085
32.7378,0.00000079
32.9148,0.00000065
33.0918,0.00000048
33.2687,0.00000037
33.4457,0.00000039
33.6226,0.00000056
33.7996,0.00000088
33.9766,0.00000129
34.1535,0.00000171
34.3305,0.00000208
34.5074,0.00000233
34.6844,0.00000239
34.8614,0.00000224
35.0383,0.00000193
35.2153,0.00000156
35.3922,0.00000124
35.5692,0.00000098
35.7462,0.00000077
35.9231,0.00000059
36.1001,0.00000053
36.2771,0.00000081
36.4540,0.00000168
36.6310,0.00000335
36.8079,0.00000585
36.9849,0.00000884
37.1619,0.00001155
37.3388,0.00001293
37.5158,0.00001224
37.6927,0.00000957
37.8697,0.00000603
38.0467,0.00000317
38.2236,0.00000204
38.4006,0.00000257
38.5776,0.00000386
38.7545,0.00000486
38.9315,0.00000516
39.1084,0.00000501
39.2854,0.00000493
39.4624,0.00000516
39.6393,0.00000555
39.8163,0.00000577
39.9932,0.00000567
40.1702,0.00000535
40.3472,0.00000492
40.5241,0.00000441
40.7011,0.00000376
40.8780,0.00000299
41.0550,0.00000227
41.2320,0.00000181
41.4089,0.00000170
41.5859,0.00000178
41.7629,0.00000180
41.9398,0.00000160
42.1168,0.00000131
42.2937,0.00000115
42.4707,0.00000118
42.6477,0.00000132
42.8246,0.00000168
43.0016,0.00000240
43.1785,0.00000344
43.3555,0.00000459
43.5325,0.00000570
43.7094,0.00000648
43.8864,0.00000658
44.0633,0.00000621
44.2403,0.00000647
44.4173,0.00000800
44.5942,0.00000983
44.7712,0.00001152
44.9482,0.00001568
45.1251,0.00002478
45.3021,0.00003506
45.4790,0.00003918
45.6560,0.00003756
45.8330,0.00004015
46.0099,0.00005122
46.1869,0.00006203
46.3638,0.00007080
46.5408,0.00010004
46.7178,0.00017587
46.8947,0.00030690
47.0717,0.00052064
47.2487,0.00088193
47.4256,0.00135731
47.6026,0.00171689
47.7795,0.00212621
47.9565,0.00479233
48.1335,0.01562720
48.3104,0.04361149
48.4874,0.09635515
48.6643,0.17352312
48.8413,0.26276143
49.0183,0.34228829
49.1952,0.38999077
49.3722,0.39395016
49.5491,0.35785428
49.7261,0.29798640
49.9031,0.23400399
50.0800,0.17960909
50.2570,0.13882231
50.4340,0.10921481
50.6109,0.08832978
50.7879,0.07766166
50.9648,0.08148189
51.1418,0.10273409
51.3188,0.14046960
51.4957,0.19101482
51.6727,0.25112049
51.8496,0.31981271
52.0266,0.39728850
52.2036,0.48149494
52.3805,0.56419875
52.5575,0.62898599
52.7345,0.65407915
52.9114,0.62126979
53.0884,0.52749784
53.2653,0.39108046
53.4423,0.24606302
53.6193,0.12652373
53.7962,0.05100388
53.9732,0.01737889
54.1501,0.01000927
54.3271,0.01193978
54.5041,0.01313702
54.6810,0.01128068
54.8580,0.00797405
55.0349,0.00503572
55.2119,0.00311556
55.3889,0.00203057
55.5658,0.00141177
55.7428,0.00100064
55.9198,0.00067669
56.0967,0.00041648
56.2737,0.00024006
56.4506,0.00015478
56.6276,0.00013230
56.8046,0.00013046
56.9815,0.00012441
57.1585,0.00011246
57.3354,0.00010026
57.5124,0.00008764
57.6894,0.00007140
57.8663,0.00005683
58.0433,0.00006110
58.2202,0.00010056
58.3972,0.00017238
58.5742,0.00025043
58.7511,0.00030144
58.9281,0.00030633
59.1051,0.00026801
59.2820,0.00020348
59.4590,0.00013253
59.6359,0.00007141
59.8129,0.00003025
59.9899,0.00001105
60.1668,0.00000804
60.3438,0.00001233
60.5207,0.00001752
60.6977,0.00002159
60.8747,0.00002466
61.0516,0.00002651
61.2286,0.00002637
61.4056,0.00002406
61.5825,0.00002043
61.7595,0.00001664
61.9364,0.00001330
62.1134,0.00001043
62.2904,0.00000792
62.4673,0.00000581
62.6443,0.00000418
62.8212,0.00000301
62.9982,0.00000228
63.1752,0.00000209
63.3521,0.00000259
63.5291,0.00000364
63.7060,0.00000474
63.8830,0.00000531
64.0600,0.00000507
64.2369,0.00000419
64.4139,0.00000311
64.5909,0.00000226
64.7678,0.00000180
64.9448,0.00000169
65.1217,0.00000183
65.2987,0.00000214
65.4757,0.00000256
65.6526,0.00000292
65.8296,0.00000302
66.0065,0.00000282
66.1835,0.00000243
66.3605,0.00000206
66.5374,0.00000181
66.7144,0.00000169
66.8914,0.00000166
67.0683,0.00000165
67.2453,0.00000160
67.4222,0.00000147
67.5992,0.00000131
67.7762,0.00000130
67.9531,0.00000166
68.1301,0.00000247
68.3070,0.00000358
68.4840,0.00000468
68.6610,0.00000559
68.8379,0.00000634
69.0149,0.00000709
69.1918,0.00000801
