# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 2000.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-06-07T00:14:32.370474
frequency_cm-1,intensity_normalized
0.1770,0.10275608
0.3539,0.23552266
0.5309,0.35199978
0.7078,0.37740763
0.8848,0.30698436
1.0618,0.20283424
1.2387,0.13266072
1.4157,0.11178755
1.5927,0.11228688
1.7696,0.11036722
1.9466,0.10857899
2.1235,0.11408875
2.3005,0.12081063
2.4775,0.12170792
2.6544,0.12091545
2.8314,0.12523131
3.0083,0.13107144
3.1853,0.13265425
3.3623,0.13220405
3.5392,0.13543398
3.7162,0.14052989
3.8931,0.14253902
4.0701,0.14236767
4.2471,0.14481114
4.4240,0.14924814
4.6010,0.15146205
4.7780,0.15179967
4.9549,0.15408066
5.1319,0.15835231
5.3088,0.16127005
5.4858,0.16346519
5.6628,0.16752858
5.8397,0.17350261
6.0167,0.17843816
6.1936,0.18171822
6.3706,0.18662179
6.5476,0.19330911
6.7245,0.19936764
6.9015,0.20370889
7.0784,0.20848829
7.2554,0.21489604
7.4324,0.22099842
7.6093,0.22554264
7.7863,0.22978083
7.9633,0.23531990
8.1402,0.24080618
8.3172,0.24490516
8.4941,0.24888917
8.6711,0.25411168
8.8481,0.25947522
9.0250,0.26362658
9.2020,0.26768820
9.3789,0.27321209
9.5559,0.27902140
9.7329,0.28379203
9.9098,0.28820954
10.0868,0.29373097
10.2638,0.29964056
10.4407,0.30385937
10.6177,0.30642451
10.7946,0.30943133
10.9716,0.31283499
11.1486,0.31552508
11.3255,0.31771051
11.5025,0.32037890
11.6794,0.32346223
11.8564,0.32597764
12.0334,0.32814036
12.2103,0.33101453
12.3873,0.33458534
12.5642,0.33772000
12.7412,0.34032113
12.9182,0.34331502
13.0951,0.34701154
13.2721,0.35038916
13.4491,0.35324723
13.6260,0.35635102
13.8030,0.35972369
13.9799,0.36286578
14.1569,0.36551550
14.3339,0.36831982
14.5108,0.37141279
14.6878,0.37430834
14.8647,0.37674815
15.0417,0.37926668
15.2187,0.38229538
15.3956,0.38535623
15.5726,0.38538491
15.7496,0.38374316
15.9265,0.38254516
16.1035,0.38152180
16.2804,0.38013188
16.4574,0.37871295
16.6344,0.37762380
16.8113,0.37645711
16.9883,0.37497140
17.1652,0.37341811
17.3422,0.37215558
17.5192,0.37078327
17.6961,0.36909699
17.8731,0.36731705
18.0500,0.36578450
18.2270,0.36440765
18.4040,0.36284059
18.5809,0.36116269
18.7579,0.35969106
18.9349,0.35841954
19.1118,0.35710520
19.2888,0.35567032
19.4657,0.35440360
19.6427,0.35325857
19.8197,0.35192338
19.9966,0.35046407
20.1736,0.34913834
20.3505,0.34794118
20.5275,0.34643924
20.7045,0.34259226
20.8814,0.33833393
21.0584,0.33420209
21.2353,0.33000409
21.4123,0.32569574
21.5893,0.32146345
21.7662,0.31735204
21.9432,0.31327591
22.1202,0.30919603
22.2971,0.30516930
22.4741,0.30125522
22.6510,0.29730631
22.8280,0.29326242
23.0050,0.28925406
23.1819,0.28534834
23.3589,0.28142167
23.5358,0.27722643
23.7128,0.27306268
23.8898,0.26903787
24.0667,0.26500888
24.2437,0.26088261
24.4207,0.25675722
24.5976,0.25271175
24.7746,0.24867291
24.9515,0.24466216
25.1285,0.24072099
25.3055,0.23684805
25.4824,0.23298969
25.6594,0.22911026
25.8363,0.22663350
26.0133,0.22421420
26.1903,0.22181581
26.3672,0.21935601
26.5442,0.21674854
26.7211,0.21418718
26.8981,0.21164901
27.0751,0.20907651
27.2520,0.20643436
27.4290,0.20382184
27.6060,0.20123388
27.7829,0.19862066
27.9599,0.19607771
28.1368,0.19360705
28.3138,0.19116080
28.4908,0.18869730
28.6677,0.18624717
28.8447,0.18385677
29.0216,0.18148940
29.1986,0.17911134
29.3756,0.17669071
29.5525,0.17419104
29.7295,0.17171206
29.9065,0.16922834
30.0834,0.16673015
30.2604,0.16415860
30.4373,0.16160367
30.6143,0.15904849
30.7913,0.15721420
30.9682,0.15811259
31.1452,0.15904892
31.3221,0.15998837
31.4991,0.16091908
31.6761,0.16189659
31.8530,0.16292584
32.0300,0.16396047
32.2069,0.16498949
32.3839,0.16598952
32.5609,0.16693618
32.7378,0.16788946
32.9148,0.16884016
33.0918,0.16977817
33.2687,0.17063355
33.4457,0.17149607
33.6226,0.17235882
33.7996,0.17321631
33.9766,0.17413116
34.1535,0.17506214
34.3305,0.17599584
34.5074,0.17692433
34.6844,0.17791173
34.8614,0.17894047
35.0383,0.17997401
35.2153,0.18100295
35.3922,0.18200601
35.5692,0.18275283
35.7462,0.18345455
35.9231,0.18475831
36.1001,0.18687786
36.2771,0.18892048
36.4540,0.19097065
36.6310,0.19301854
36.8079,0.19505837
36.9849,0.19713411
37.1619,0.19921956
37.3388,0.20130418
37.5158,0.20338002
37.6927,0.20552713
37.8697,0.20770872
38.0467,0.20989097
38.2236,0.21206420
38.4006,0.21422437
38.5776,0.21638220
38.7545,0.21854216
38.9315,0.22069136
39.1084,0.22280865
39.2854,0.22486558
39.4624,0.22692599
39.6393,0.22897812
39.8163,0.23102593
39.9932,0.23308936
40.1702,0.23515741
40.3472,0.23721805
40.5241,0.23927281
40.7011,0.24141058
40.8780,0.24356936
41.0550,0.24498945
41.2320,0.24595733
41.4089,0.24693275
41.5859,0.24791602
41.7629,0.24889418
41.9398,0.24986525
42.1168,0.25080556
42.2937,0.25169642
42.4707,0.25258347
42.6477,0.25346324
42.8246,0.25434356
43.0016,0.25521932
43.1785,0.25609255
43.3555,0.25695858
43.5325,0.25782611
43.7094,0.25877721
43.8864,0.25973270
44.0633,0.26068130
44.2403,0.26163032
44.4173,0.26260409
44.5942,0.26358536
44.7712,0.26456024
44.9482,0.26553457
45.1251,0.26647991
45.3021,0.26738741
45.4790,0.26828466
45.6560,0.26918052
45.8330,0.27007378
46.0099,0.27094566
46.1869,0.27086997
46.3638,0.27059150
46.5408,0.27031970
46.7178,0.27011767
46.8947,0.26991161
47.0717,0.26970295
47.2487,0.26928901
47.4256,0.26863961
47.6026,0.26799559
47.7795,0.26734862
47.9565,0.26670453
48.1335,0.26603136
48.3104,0.26533253
48.4874,0.26463058
48.6643,0.26392637
48.8413,0.26321017
49.0183,0.26246470
49.1952,0.26171610
49.3722,0.26096855
49.5491,0.26023149
49.7261,0.25954144
49.9031,0.25884839
50.0800,0.25815553
50.2570,0.25746603
50.4340,0.25682774
50.6109,0.25619218
50.7879,0.25555599
50.9648,0.25492281
51.1418,0.25428244
51.3188,0.25422063
51.4957,0.25415749
51.6727,0.25409687
51.8496,0.25401495
52.0266,0.25390335
52.2036,0.25378981
52.3805,0.25367817
52.5575,0.25357787
52.7345,0.25350584
52.9114,0.25343139
53.0884,0.25335813
53.2653,0.25328805
53.4423,0.25328140
53.6193,0.25327199
53.7962,0.25326298
53.9732,0.25325720
54.1501,0.25323800
54.3271,0.25321191
54.5041,0.25318539
54.6810,0.25316208
54.8580,0.25311050
55.0349,0.25303439
55.2119,0.25295878
55.3889,0.25288619
55.5658,0.25282245
55.7428,0.25277069
55.9198,0.25271691
56.0967,0.25266578
56.2737,0.25287546
56.4506,0.25398662
56.6276,0.25509508
56.8046,0.25620567
56.9815,0.25731897
57.1585,0.25843150
57.3354,0.25954095
57.5124,0.26065190
57.6894,0.26176589
57.8663,0.26284508
58.0433,0.26390277
58.2202,0.26496417
58.3972,0.26603378
58.5742,0.26710525
58.7511,0.26817683
58.9281,0.26923307
59.1051,0.26993842
59.2820,0.27065661
59.4590,0.27142457
59.6359,0.27219193
59.8129,0.27296239
59.9899,0.27373289
60.1668,0.27451874
60.3438,0.27530389
60.5207,0.27609189
60.6977,0.27688048
60.8747,0.27763210
61.0516,0.27837081
61.2286,0.27911202
61.4056,0.27981227
61.5825,0.28045795
61.7595,0.28109871
61.9364,0.28174155
62.1134,0.28238584
62.2904,0.28304647
62.4673,0.28374929
62.6443,0.28445375
62.8212,0.28515993
62.9982,0.28586687
63.1752,0.28660487
63.3521,0.28734410
63.5291,0.28808518
63.7060,0.28882510
63.8830,0.28953340
64.0600,0.29023722
64.2369,0.29094290
64.4139,0.29164807
64.5909,0.29234128
64.7678,0.29304245
64.9448,0.29374589
65.1217,0.29444941
65.2987,0.29517434
65.4757,0.29593371
65.6526,0.29669461
65.8296,0.29745606
66.0065,0.29822564
66.1835,0.29903643
66.3605,0.29984846
66.5374,0.30012228
66.7144,0.30008706
66.8914,0.30003061
67.0683,0.29997382
67.2453,0.29991804
67.4222,0.29986330
67.5992,0.29979152
67.7762,0.29971337
67.9531,0.29964941
68.1301,0.29959128
68.3070,0.29955778
68.4840,0.29954832
68.6610,0.29953957
68.8379,0.29953294
69.0149,0.29954410
69.1918,0.29959860
69.3688,0.29965339
69.5458,0.29971059
69.7227,0.29976967
69.8997,0.29981950
70.0767,0.29986905
70.2536,0.29992112
70.4306,0.29997605
70.6075,0.30000619
70.7845,0.30002019
70.9615,0.30003131
71.1384,0.30005664
71.3154,0.30011194
71.4923,0.30018036
71.6693,0.30011505
71.8463,0.30002734
72.0232,0.29996398
72.2002,0.29993997
72.3771,0.29991742
72.5541,0.29989905
72.7311,0.29988159
