# Harmonic NMDipoleSurface IR, FWHM=10 cm-1
# frequency_cm-1,intensity_normalized
0.000000000000000000e+00,2.484535602575141432e-04
1.000000000000000000e+00,2.505207350021092043e-04
2.000000000000000000e+00,2.526309605315116410e-04
3.000000000000000000e+00,2.547856309952565277e-04
4.000000000000000000e+00,2.569861997666581400e-04
5.000000000000000000e+00,2.592341825250806127e-04
6.000000000000000000e+00,2.615311605277071891e-04
7.000000000000000000e+00,2.638787840842461490e-04
8.000000000000000000e+00,2.662787762491074196e-04
9.000000000000000000e+00,2.687329367467509566e-04
1.000000000000000000e+01,2.712431461472055621e-04
1.100000000000000000e+01,2.738113703101543376e-04
1.200000000000000000e+01,2.764396651175303476e-04
1.300000000000000000e+01,2.791301815162315083e-04
1.400000000000000000e+01,2.818851708944166757e-04
1.500000000000000000e+01,2.847069908168510586e-04
1.600000000000000000e+01,2.875981111469762459e-04
1.700000000000000000e+01,2.905611205858095111e-04
1.800000000000000000e+01,2.935987336604305880e-04
1.900000000000000000e+01,2.967137981977417791e-04
2.000000000000000000e+01,2.999093033224017597e-04
2.100000000000000000e+01,3.031883880213805680e-04
2.200000000000000000e+01,3.065543503214760985e-04
2.300000000000000000e+01,3.100106571304503639e-04
2.400000000000000000e+01,3.135609547971951916e-04
2.500000000000000000e+01,3.172090804515847302e-04
2.600000000000000000e+01,3.209590741904987977e-04
2.700000000000000000e+01,3.248151921829379660e-04
2.800000000000000000e+01,3.287819207742862394e-04
2.900000000000000000e+01,3.328639916777090539e-04
3.000000000000000000e+01,3.370663983494805865e-04
3.100000000000000000e+01,3.413944136548227614e-04
3.200000000000000000e+01,3.458536089417541958e-04
3.300000000000000000e+01,3.504498746526017207e-04
3.400000000000000000e+01,3.551894426164074509e-04
3.500000000000000000e+01,3.600789101806262929e-04
3.600000000000000000e+01,3.651252663574937308e-04
3.700000000000000000e+01,3.703359201794475153e-04
3.800000000000000000e+01,3.757187314793326003e-04
3.900000000000000000e+01,3.812820443350728710e-04
4.000000000000000000e+01,3.870347234454512447e-04
4.100000000000000000e+01,3.929861937339965724e-04
4.200000000000000000e+01,3.991464835122187239e-04
4.300000000000000000e+01,4.055262715721184375e-04
4.400000000000000000e+01,4.121369386216452643e-04
4.500000000000000000e+01,4.189906235263656832e-04
4.600000000000000000e+01,4.261002848768421711e-04
4.700000000000000000e+01,4.334797684651786587e-04
4.800000000000000000e+01,4.411438813269503989e-04
4.900000000000000000e+01,4.491084730877511946e-04
5.000000000000000000e+01,4.573905254483780691e-04
5.100000000000000000e+01,4.660082507511672406e-04
5.200000000000000000e+01,4.749812006943404576e-04
5.300000000000000000e+01,4.843303864040479655e-04
5.400000000000000000e+01,4.940784112381349166e-04
5.500000000000000000e+01,5.042496178851160272e-04
5.600000000000000000e+01,5.148702515407455440e-04
5.700000000000000000e+01,5.259686411979406931e-04
5.800000000000000000e+01,5.375754013797844327e-04
5.900000000000000000e+01,5.497236569870893059e-04
6.000000000000000000e+01,5.624492943302577793e-04
6.100000000000000000e+01,5.757912418803050412e-04
6.200000000000000000e+01,5.897917848184724629e-04
6.300000000000000000e+01,6.044969181029806243e-04
6.400000000000000000e+01,6.199567435234563028e-04
6.500000000000000000e+01,6.362259171006991220e-04
6.600000000000000000e+01,6.533641542387997117e-04
6.700000000000000000e+01,6.714368012813264194e-04
6.800000000000000000e+01,6.905154836039786382e-04
6.900000000000000000e+01,7.106788421427025389e-04
7.000000000000000000e+01,7.320133723704720218e-04
7.100000000000000000e+01,7.546143822741579891e-04
7.200000000000000000e+01,7.785870889401963176e-04
7.300000000000000000e+01,8.040478770526911147e-04
7.400000000000000000e+01,8.311257470888974144e-04
7.500000000000000000e+01,8.599639864517288337e-04
7.600000000000000000e+01,8.907221034435508587e-04
7.700000000000000000e+01,9.235780721600476712e-04
7.800000000000000000e+01,9.587309464501507592e-04
7.900000000000000000e+01,9.964039135379129403e-04
8.000000000000000000e+01,1.036847873365807655e-03
8.100000000000000000e+01,1.080345649012379996e-03
8.200000000000000000e+01,1.127216957721704571e-03
8.300000000000000000e+01,1.177824302545134620e-03
8.400000000000000000e+01,1.232579983161060299e-03
8.500000000000000000e+01,1.291954473516666738e-03
8.600000000000000000e+01,1.356486476732981714e-03
8.700000000000000000e+01,1.426795048519903606e-03
8.800000000000000000e+01,1.503594284935045418e-03
8.900000000000000000e+01,1.587711206511599384e-03
9.000000000000000000e+01,1.680107649242880722e-03
9.100000000000000000e+01,1.781907208288091311e-03
9.200000000000000000e+01,1.894428592792475347e-03
9.300000000000000000e+01,2.019227168053745573e-03
9.400000000000000000e+01,2.158147023858209695e-03
9.500000000000000000e+01,2.313386670765959878e-03
9.600000000000000000e+01,2.487582508339569991e-03
9.700000000000000000e+01,2.683915643337983405e-03
9.800000000000000000e+01,2.906249623047696407e-03
9.900000000000000000e+01,3.159309421091868308e-03
1.000000000000000000e+02,3.448915903782769857e-03
1.010000000000000000e+02,3.782295492407482165e-03
1.020000000000000000e+02,4.168492498857295954e-03
1.030000000000000000e+02,4.618922589192083275e-03
1.040000000000000000e+02,5.148121267301906598e-03
1.050000000000000000e+02,5.774762657504563072e-03
1.060000000000000000e+02,6.523052534632148985e-03
1.070000000000000000e+02,7.424635331605114637e-03
1.080000000000000000e+02,8.521192194929250174e-03
1.090000000000000000e+02,9.867924787466045636e-03
1.100000000000000000e+02,1.153805409667972050e-02
1.110000000000000000e+02,1.362814493994239304e-02
1.120000000000000000e+02,1.626306921016161880e-02
1.130000000000000000e+02,1.959675679589420114e-02
1.140000000000000000e+02,2.379855798437522513e-02
1.150000000000000000e+02,2.900226200501928794e-02
1.160000000000000000e+02,3.517700036480976566e-02
1.170000000000000000e+02,4.188353580976499763e-02
1.180000000000000000e+02,4.799706963804702131e-02
1.190000000000000000e+02,5.178334750616257059e-02
1.200000000000000000e+02,5.178936737404477714e-02
1.210000000000000000e+02,4.801326503927173805e-02
1.220000000000000000e+02,4.190600799098139623e-02
1.230000000000000000e+02,3.520251432358936783e-02
1.240000000000000000e+02,2.902921170645022392e-02
1.250000000000000000e+02,2.382654773222414590e-02
1.260000000000000000e+02,1.962596762150169497e-02
1.270000000000000000e+02,1.629386204595104082e-02
1.280000000000000000e+02,1.366088394809497099e-02
1.290000000000000000e+02,1.157304836574760652e-02
1.300000000000000000e+02,9.905419818467086149e-03
1.310000000000000000e+02,8.561378214587153299e-03
1.320000000000000000e+02,7.467659115622380349e-03
1.330000000000000000e+02,6.569028176760289758e-03
