# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-06-05T12:28:01.093129
frequency_cm-1,intensity_normalized
241.3108,0.02566576
482.6216,0.11243390
723.9324,0.27173256
965.2432,0.49602377
1206.5539,0.74400826
1447.8647,0.92904378
1689.1755,1.00000000
1930.4863,0.95131029
2171.7971,0.79703182
2413.1079,0.62153729
2654.4187,0.44802442
2895.7295,0.30704909
3137.0402,0.21538955
3378.3510,0.15268708
3619.6618,0.11871678
3860.9726,0.09418937
4102.2834,0.07642465
4343.5942,0.05949349
