# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-06-05T12:30:12.149418
frequency_cm-1,intensity_normalized
42.8132,0.00392673
85.6264,0.01798191
128.4396,0.05423208
171.2528,0.14312337
214.0660,0.32900101
256.8792,0.60255488
299.6924,0.87081216
342.5056,1.00000000
385.3188,0.93923401
428.1320,0.72722646
470.9452,0.46755586
513.7585,0.24101522
556.5717,0.09349521
599.3849,0.02581378
642.1981,0.00843580
685.0113,0.00873610
727.8245,0.00833924
770.6377,0.00515701
813.4509,0.00251157
856.2641,0.00138585
899.0773,0.00106400
941.8905,0.00089782
984.7037,0.00088487
1027.5169,0.00072378
1070.3301,0.00039382
1113.1433,0.00022305
1155.9565,0.00030004
1198.7697,0.00032661
1241.5829,0.00019228
1284.3961,0.00012785
1327.2093,0.00019121
1370.0225,0.00021730
1412.8357,0.00012269
1455.6489,0.00003598
1498.4622,0.00007134
1541.2754,0.00014028
1584.0886,0.00011224
1626.9018,0.00003002
1669.7150,0.00001694
1712.5282,0.00006195
1755.3414,0.00006479
1798.1546,0.00002652
1840.9678,0.00001588
1883.7810,0.00003955
1926.5942,0.00004637
1969.4074,0.00002283
2012.2206,0.00000720
2055.0338,0.00001939
2097.8470,0.00003264
2140.6602,0.00002388
2183.4734,0.00001255
2226.2866,0.00001492
2269.0998,0.00001821
2311.9130,0.00001216
2354.7262,0.00000684
2397.5394,0.00000909
2440.3526,0.00001119
2483.1659,0.00000888
2525.9791,0.00000669
2568.7923,0.00000900
2611.6055,0.00001068
2654.4187,0.00000785
2697.2319,0.00000588
2740.0451,0.00000843
2782.8583,0.00001046
2825.6715,0.00000869
2868.4847,0.00000767
2911.2979,0.00000923
2954.1111,0.00000973
2996.9243,0.00000864
3039.7375,0.00000910
3082.5507,0.00001133
3125.3639,0.00001151
3168.1771,0.00000810
3210.9903,0.00000576
3253.8035,0.00000805
3296.6167,0.00001089
3339.4299,0.00000928
3382.2431,0.00000596
3425.0563,0.00000555
3467.8696,0.00000785
3510.6828,0.00000971
3553.4960,0.00000982
3596.3092,0.00000951
3639.1224,0.00000964
3681.9356,0.00000968
3724.7488,0.00000927
3767.5620,0.00000943
3810.3752,0.00000988
3853.1884,0.00000949
3896.0016,0.00000900
3938.8148,0.00000972
3981.6280,0.00001057
4024.4412,0.00000983
4067.2544,0.00000896
4110.0676,0.00001031
4152.8808,0.00001364
4195.6940,0.00001665
4238.5072,0.00001775
4281.3204,0.00001746
4324.1336,0.00001698
4366.9468,0.00001688
4409.7600,0.00001694
4452.5733,0.00001662
4495.3865,0.00001573
