# IR spectrum — CH₂O₂  –  Criegee intermediate (CH₂OO)
# Temperature: 300.0 K
# MD steps: 20000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-03-18T20:22:33.065790
frequency_cm-1,intensity_normalized
0.2654,0.00000013
0.5309,0.00000055
0.7963,0.00000114
1.0618,0.00000151
1.3272,0.00000126
1.5927,0.00000054
1.8581,0.00000005
2.1235,0.00000028
2.3890,0.00000101
2.6544,0.00000153
2.9199,0.00000138
3.1853,0.00000081
3.4507,0.00000032
3.7162,0.00000015
3.9816,0.00000017
4.2471,0.00000015
4.5125,0.00000006
4.7780,0.00000000
5.0434,0.00000003
5.3088,0.00000008
5.5743,0.00000010
5.8397,0.00000007
6.1052,0.00000004
6.3706,0.00000001
6.6360,0.00000001
6.9015,0.00000000
7.1669,0.00000000
7.4324,0.00000000
7.6978,0.00000001
7.9633,0.00000001
8.2287,0.00000001
8.4941,0.00000000
8.7596,0.00000000
9.0250,0.00000001
9.2905,0.00000001
9.5559,0.00000001
9.8213,0.00000000
10.0868,0.00000000
10.3522,0.00000000
10.6177,0.00000002
10.8831,0.00000002
11.1486,0.00000003
11.4140,0.00000002
11.6794,0.00000002
11.9449,0.00000001
12.2103,0.00000001
12.4758,0.00000000
12.7412,0.00000000
13.0067,0.00000000
13.2721,0.00000001
13.5375,0.00000002
13.8030,0.00000002
14.0684,0.00000001
14.3339,0.00000000
14.5993,0.00000001
14.8647,0.00000004
15.1302,0.00000009
15.3956,0.00000013
15.6611,0.00000017
15.9265,0.00000024
16.1920,0.00000033
16.4574,0.00000042
16.7228,0.00000048
16.9883,0.00000048
17.2537,0.00000041
17.5192,0.00000029
17.7846,0.00000017
18.0500,0.00000008
18.3155,0.00000002
18.5809,0.00000001
18.8464,0.00000001
19.1118,0.00000001
19.3773,0.00000004
19.6427,0.00000011
19.9081,0.00000023
20.1736,0.00000038
20.4390,0.00000049
20.7045,0.00000051
20.9699,0.00000044
21.2353,0.00000031
21.5008,0.00000018
21.7662,0.00000008
22.0317,0.00000002
22.2971,0.00000001
22.5626,0.00000001
22.8280,0.00000001
23.0934,0.00000001
23.3589,0.00000001
23.6243,0.00000001
23.8898,0.00000001
24.1552,0.00000002
24.4207,0.00000001
24.6861,0.00000001
24.9515,0.00000000
25.2170,0.00000000
25.4824,0.00000000
25.7479,0.00000000
26.0133,0.00000000
26.2787,0.00000001
26.5442,0.00000001
26.8096,0.00000001
27.0751,0.00000002
27.3405,0.00000002
27.6060,0.00000002
27.8714,0.00000002
28.1368,0.00000002
28.4023,0.00000001
28.6677,0.00000001
28.9332,0.00000000
29.1986,0.00000000
29.4640,0.00000000
29.7295,0.00000001
29.9949,0.00000004
30.2604,0.00000013
30.5258,0.00000033
30.7913,0.00000067
31.0567,0.00000114
31.3221,0.00000163
31.5876,0.00000199
31.8530,0.00000207
32.1185,0.00000184
32.3839,0.00000138
32.6493,0.00000085
32.9148,0.00000041
33.1802,0.00000014
33.4457,0.00000002
33.7111,0.00000000
33.9766,0.00000001
34.2420,0.00000001
34.5074,0.00000001
34.7729,0.00000001
35.0383,0.00000000
35.3038,0.00000000
35.5692,0.00000000
35.8347,0.00000000
36.1001,0.00000000
36.3655,0.00000000
36.6310,0.00000000
36.8964,0.00000000
37.1619,0.00000000
37.4273,0.00000000
37.6927,0.00000000
37.9582,0.00000000
38.2236,0.00000001
38.4891,0.00000001
38.7545,0.00000001
39.0200,0.00000000
39.2854,0.00000000
39.5508,0.00000000
39.8163,0.00000000
40.0817,0.00000000
40.3472,0.00000000
40.6126,0.00000000
40.8780,0.00000000
41.1435,0.00000001
41.4089,0.00000001
41.6744,0.00000001
41.9398,0.00000001
42.2053,0.00000001
42.4707,0.00000002
42.7361,0.00000002
43.0016,0.00000003
43.2670,0.00000003
43.5325,0.00000003
43.7979,0.00000003
44.0633,0.00000002
44.3288,0.00000002
44.5942,0.00000001
44.8597,0.00000000
45.1251,0.00000000
45.3906,0.00000000
45.6560,0.00000000
45.9214,0.00000001
46.1869,0.00000001
46.4523,0.00000001
46.7178,0.00000001
46.9832,0.00000000
47.2487,0.00000001
47.5141,0.00000002
47.7795,0.00000004
48.0450,0.00000005
48.3104,0.00000006
48.5759,0.00000007
48.8413,0.00000006
49.1067,0.00000006
49.3722,0.00000006
49.6376,0.00000006
49.9031,0.00000007
50.1685,0.00000007
50.4340,0.00000006
50.6994,0.00000005
50.9648,0.00000003
51.2303,0.00000002
51.4957,0.00000001
51.7612,0.00000001
52.0266,0.00000001
52.2920,0.00000001
52.5575,0.00000001
52.8229,0.00000001
53.0884,0.00000000
53.3538,0.00000000
53.6193,0.00000000
53.8847,0.00000000
54.1501,0.00000000
54.4156,0.00000001
54.6810,0.00000001
54.9465,0.00000001
55.2119,0.00000001
55.4774,0.00000000
55.7428,0.00000000
56.0082,0.00000000
56.2737,0.00000000
56.5391,0.00000000
56.8046,0.00000000
57.0700,0.00000000
57.3354,0.00000000
57.6009,0.00000000
57.8663,0.00000000
58.1318,0.00000000
58.3972,0.00000000
58.6627,0.00000000
58.9281,0.00000000
59.1935,0.00000000
59.4590,0.00000000
59.7244,0.00000001
59.9899,0.00000001
60.2553,0.00000001
60.5207,0.00000002
60.7862,0.00000003
61.0516,0.00000003
61.3171,0.00000004
61.5825,0.00000004
61.8480,0.00000003
62.1134,0.00000002
62.3788,0.00000001
62.6443,0.00000001
62.9097,0.00000000
63.1752,0.00000000
63.4406,0.00000000
63.7060,0.00000000
63.9715,0.00000000
64.2369,0.00000000
64.5024,0.00000002
64.7678,0.00000002
65.0333,0.00000002
65.2987,0.00000001
65.5641,0.00000001
65.8296,0.00000003
66.0950,0.00000003
66.3605,0.00000002
66.6259,0.00000009
66.8914,0.00000021
67.1568,0.00000018
67.4222,0.00000001
67.6877,0.00000082
67.9531,0.00000525
68.2186,0.00001654
68.4840,0.00003654
68.7494,0.00006456
69.0149,0.00009849
69.2803,0.00013799
69.5458,0.00018790
69.8112,0.00026038
70.0767,0.00037412
70.3421,0.00054787
70.6075,0.00078685
70.8730,0.00106596
71.1384,0.00132315
71.4039,0.00147564
71.6693,0.00145809
71.9347,0.00126106
72.2002,0.00094171
72.4656,0.00059608
72.7311,0.00031092
72.9965,0.00012742
73.2620,0.00003740
73.5274,0.00000626
73.7928,0.00000022
74.0583,0.00000017
74.3237,0.00000018
74.5892,0.00000003
74.8546,0.00000005
75.1200,0.00000010
75.3855,0.00000006
75.6509,0.00000002
75.9164,0.00000003
76.1818,0.00000006
76.4473,0.00000004
76.7127,0.00000002
76.9781,0.00000000
77.2436,0.00000000
77.5090,0.00000000
77.7745,0.00000003
78.0399,0.00000007
78.3054,0.00000012
78.5708,0.00000020
78.8362,0.00000037
79.1017,0.00000063
79.3671,0.00000061
79.6326,0.00000008
79.8980,0.00000136
80.1634,0.00001311
80.4289,0.00005163
80.6943,0.00013476
80.9598,0.00026791
81.2252,0.00043076
81.4907,0.00057724
81.7561,0.00065449
82.0215,0.00063139
82.2870,0.00051705
82.5524,0.00035557
82.8179,0.00020075
83.0833,0.00008909
83.3487,0.00002842
83.6142,0.00000519
83.8796,0.00000026
84.1451,0.00000035
84.4105,0.00000044
84.6760,0.00000015
84.9414,0.00000001
85.2068,0.00000004
85.4723,0.00000006
85.7377,0.00000003
86.0032,0.00000001
86.2686,0.00000001
86.5340,0.00000002
86.7995,0.00000001
87.0649,0.00000000
87.3304,0.00000000
87.5958,0.00000001
87.8613,0.00000000
88.1267,0.00000000
88.3921,0.00000000
88.6576,0.00000000
88.9230,0.00000001
89.1885,0.00000001
89.4539,0.00000001
89.7194,0.00000001
89.9848,0.00000000
90.2502,0.00000004
90.5157,0.00000020
90.7811,0.00000061
91.0466,0.00000132
91.3120,0.00000230
91.5774,0.00000342
91.8429,0.00000451
92.1083,0.00000541
92.3738,0.00000597
92.6392,0.00000605
92.9047,0.00000554
93.1701,0.00000450
93.4355,0.00000314
93.7010,0.00000181
93.9664,0.00000081
94.2319,0.00000024
94.4973,0.00000003
94.7627,0.00000000
95.0282,0.00000001
95.2936,0.00000001
95.5591,0.00000000
95.8245,0.00000000
96.0900,0.00000000
96.3554,0.00000000
96.6208,0.00000000
96.8863,0.00000000
