# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-03-19T18:18:55.192958
frequency_cm-1,intensity_normalized
0.1770,0.00000000
0.3539,0.00000000
0.5309,0.00000000
0.7078,0.00000001
0.8848,0.00000001
1.0618,0.00000002
1.2387,0.00000002
1.4157,0.00000001
1.5927,0.00000001
1.7696,0.00000001
1.9466,0.00000001
2.1235,0.00000003
2.3005,0.00000005
2.4775,0.00000006
2.6544,0.00000005
2.8314,0.00000002
3.0083,0.00000001
3.1853,0.00000001
3.3623,0.00000003
3.5392,0.00000005
3.7162,0.00000006
3.8931,0.00000004
4.0701,0.00000002
4.2471,0.00000001
4.4240,0.00000002
4.6010,0.00000004
4.7780,0.00000004
4.9549,0.00000002
5.1319,0.00000001
5.3088,0.00000001
5.4858,0.00000003
5.6628,0.00000006
5.8397,0.00000006
6.0167,0.00000005
6.1936,0.00000004
6.3706,0.00000004
6.5476,0.00000005
6.7245,0.00000007
6.9015,0.00000008
7.0784,0.00000010
7.2554,0.00000013
7.4324,0.00000015
7.6093,0.00000016
7.7863,0.00000016
7.9633,0.00000013
8.1402,0.00000010
8.3172,0.00000006
8.4941,0.00000004
8.6711,0.00000002
8.8481,0.00000001
9.0250,0.00000000
9.2020,0.00000000
9.3789,0.00000000
9.5559,0.00000001
9.7329,0.00000002
9.9098,0.00000004
10.0868,0.00000004
10.2638,0.00000004
10.4407,0.00000002
10.6177,0.00000000
10.7946,0.00000001
10.9716,0.00000005
11.1486,0.00000012
11.3255,0.00000021
11.5025,0.00000035
11.6794,0.00000055
11.8564,0.00000080
12.0334,0.00000106
12.2103,0.00000131
12.3873,0.00000158
12.5642,0.00000198
12.7412,0.00000261
12.9182,0.00000346
13.0951,0.00000444
13.2721,0.00000538
13.4491,0.00000616
13.6260,0.00000673
13.8030,0.00000713
13.9799,0.00000745
14.1569,0.00000779
14.3339,0.00000825
14.5108,0.00000892
14.6878,0.00000980
14.8647,0.00001081
15.0417,0.00001171
15.2187,0.00001210
15.3956,0.00001162
15.5726,0.00001006
15.7496,0.00000765
15.9265,0.00000496
16.1035,0.00000267
16.2804,0.00000120
16.4574,0.00000050
16.6344,0.00000023
16.8113,0.00000009
16.9883,0.00000006
17.1652,0.00000029
17.3422,0.00000079
17.5192,0.00000138
17.6961,0.00000174
17.8731,0.00000172
18.0500,0.00000144
18.2270,0.00000112
18.4040,0.00000097
18.5809,0.00000106
