# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-03-31T17:22:22.663762
frequency_cm-1,intensity_normalized
0.1770,0.18643296
0.3539,0.60398002
0.5309,0.94842977
0.7078,1.00000000
0.8848,0.76982653
1.0618,0.43844869
1.2387,0.18243514
1.4157,0.06024496
1.5927,0.02838175
1.7696,0.02378651
1.9466,0.01722543
2.1235,0.00946802
2.3005,0.00585217
2.4775,0.00515009
2.6544,0.00422355
2.8314,0.00278024
3.0083,0.00194362
3.1853,0.00175525
3.3623,0.00152063
3.5392,0.00110105
3.7162,0.00082718
3.8931,0.00075943
4.0701,0.00067847
4.2471,0.00052147
4.4240,0.00041095
4.6010,0.00038161
4.7780,0.00034764
4.9549,0.00027845
5.1319,0.00022711
5.3088,0.00021263
5.4858,0.00019628
5.6628,0.00016209
5.8397,0.00013570
6.0167,0.00012782
6.1936,0.00011910
6.3706,0.00010071
6.5476,0.00008609
6.7245,0.00008144
6.9015,0.00007640
7.0784,0.00006585
7.2554,0.00005726
7.4324,0.00005434
7.6093,0.00005123
7.7863,0.00004487
7.9633,0.00003959
8.1402,0.00003764
8.3172,0.00003561
8.4941,0.00003162
8.6711,0.00002826
8.8481,0.00002690
9.0250,0.00002550
9.2020,0.00002292
9.3789,0.00002072
9.5559,0.00001974
9.7329,0.00001873
9.9098,0.00001702
10.0868,0.00001555
10.2638,0.00001481
10.4407,0.00001405
10.6177,0.00001290
10.7946,0.00001191
10.9716,0.00001132
11.1486,0.00001074
11.3255,0.00000996
11.5025,0.00000928
11.6794,0.00000881
11.8564,0.00000834
12.0334,0.00000781
12.2103,0.00000734
12.3873,0.00000696
12.5642,0.00000657
12.7412,0.00000621
12.9182,0.00000589
13.0951,0.00000557
13.2721,0.00000524
13.4491,0.00000500
13.6260,0.00000479
13.8030,0.00000451
13.9799,0.00000423
14.1569,0.00000407
14.3339,0.00000394
14.5108,0.00000369
14.6878,0.00000345
14.8647,0.00000335
15.0417,0.00000327
15.2187,0.00000305
15.3956,0.00000283
15.5726,0.00000278
15.7496,0.00000274
15.9265,0.00000254
16.1035,0.00000235
16.2804,0.00000233
16.4574,0.00000231
16.6344,0.00000214
16.8113,0.00000196
16.9883,0.00000196
17.1652,0.00000197
17.3422,0.00000181
17.5192,0.00000164
17.6961,0.00000167
17.8731,0.00000169
18.0500,0.00000154
18.2270,0.00000139
18.4040,0.00000142
18.5809,0.00000146
18.7579,0.00000132
18.9349,0.00000118
19.1118,0.00000122
19.2888,0.00000127
19.4657,0.00000114
19.6427,0.00000101
19.8197,0.00000106
19.9966,0.00000111
20.1736,0.00000099
20.3505,0.00000086
20.5275,0.00000092
20.7045,0.00000098
20.8814,0.00000086
21.0584,0.00000074
21.2353,0.00000080
21.4123,0.00000087
21.5893,0.00000076
21.7662,0.00000064
21.9432,0.00000070
22.1202,0.00000077
22.2971,0.00000067
22.4741,0.00000056
22.6510,0.00000062
22.8280,0.00000069
23.0050,0.00000059
23.1819,0.00000048
23.3589,0.00000055
23.5358,0.00000062
23.7128,0.00000052
23.8898,0.00000042
24.0667,0.00000049
24.2437,0.00000056
24.4207,0.00000047
24.5976,0.00000037
24.7746,0.00000043
24.9515,0.00000051
25.1285,0.00000042
25.3055,0.00000032
25.4824,0.00000039
25.6594,0.00000046
25.8363,0.00000037
26.0133,0.00000028
26.1903,0.00000035
26.3672,0.00000042
26.5442,0.00000034
26.7211,0.00000025
26.8981,0.00000031
27.0751,0.00000038
27.2520,0.00000030
27.4290,0.00000022
27.6060,0.00000028
27.7829,0.00000035
27.9599,0.00000028
28.1368,0.00000019
28.3138,0.00000026
28.4908,0.00000033
28.6677,0.00000025
28.8447,0.00000017
29.0216,0.00000023
29.1986,0.00000030
29.3756,0.00000023
29.5525,0.00000015
29.7295,0.00000021
29.9065,0.00000028
30.0834,0.00000021
30.2604,0.00000013
30.4373,0.00000019
30.6143,0.00000026
30.7913,0.00000019
30.9682,0.00000012
31.1452,0.00000018
31.3221,0.00000024
31.4991,0.00000018
31.6761,0.00000010
31.8530,0.00000016
32.0300,0.00000023
32.2069,0.00000016
32.3839,0.00000009
32.5609,0.00000015
32.7378,0.00000021
32.9148,0.00000015
33.0918,0.00000008
33.2687,0.00000014
33.4457,0.00000020
33.6226,0.00000014
33.7996,0.00000007
33.9766,0.00000013
34.1535,0.00000019
34.3305,0.00000013
34.5074,0.00000006
34.6844,0.00000012
34.8614,0.00000018
35.0383,0.00000012
35.2153,0.00000005
35.3922,0.00000011
35.5692,0.00000017
35.7462,0.00000011
35.9231,0.00000005
36.1001,0.00000010
36.2771,0.00000016
36.4540,0.00000011
36.6310,0.00000004
36.8079,0.00000009
36.9849,0.00000015
37.1619,0.00000010
37.3388,0.00000004
37.5158,0.00000009
37.6927,0.00000015
37.8697,0.00000009
38.0467,0.00000003
38.2236,0.00000008
38.4006,0.00000014
38.5776,0.00000009
38.7545,0.00000003
38.9315,0.00000008
39.1084,0.00000014
39.2854,0.00000008
39.4624,0.00000002
39.6393,0.00000007
39.8163,0.00000013
39.9932,0.00000008
40.1702,0.00000002
40.3472,0.00000007
40.5241,0.00000013
40.7011,0.00000008
40.8780,0.00000002
41.0550,0.00000007
41.2320,0.00000012
41.4089,0.00000007
41.5859,0.00000002
41.7629,0.00000006
41.9398,0.00000012
42.1168,0.00000007
42.2937,0.00000001
42.4707,0.00000006
42.6477,0.00000011
42.8246,0.00000007
43.0016,0.00000001
43.1785,0.00000006
43.3555,0.00000011
43.5325,0.00000006
43.7094,0.00000001
43.8864,0.00000005
44.0633,0.00000011
44.2403,0.00000006
44.4173,0.00000001
44.5942,0.00000005
44.7712,0.00000010
44.9482,0.00000006
45.1251,0.00000001
45.3021,0.00000005
45.4790,0.00000010
45.6560,0.00000006
45.8330,0.00000000
46.0099,0.00000005
46.1869,0.00000010
46.3638,0.00000006
46.5408,0.00000000
46.7178,0.00000005
46.8947,0.00000010
47.0717,0.00000005
47.2487,0.00000000
47.4256,0.00000004
47.6026,0.00000009
47.7795,0.00000005
47.9565,0.00000000
48.1335,0.00000004
48.3104,0.00000009
48.4874,0.00000005
48.6643,0.00000000
48.8413,0.00000004
49.0183,0.00000009
49.1952,0.00000005
49.3722,0.00000000
49.5491,0.00000004
49.7261,0.00000009
49.9031,0.00000005
50.0800,0.00000000
50.2570,0.00000004
50.4340,0.00000009
50.6109,0.00000005
50.7879,0.00000000
50.9648,0.00000004
51.1418,0.00000008
51.3188,0.00000005
51.4957,0.00000000
51.6727,0.00000004
51.8496,0.00000008
52.0266,0.00000005
52.2036,0.00000000
52.3805,0.00000004
52.5575,0.00000008
52.7345,0.00000005
52.9114,0.00000000
53.0884,0.00000004
53.2653,0.00000008
53.4423,0.00000005
53.6193,0.00000000
53.7962,0.00000004
53.9732,0.00000008
54.1501,0.00000005
54.3271,0.00000000
54.5041,0.00000004
54.6810,0.00000008
54.8580,0.00000004
55.0349,0.00000000
55.2119,0.00000003
55.3889,0.00000008
55.5658,0.00000004
55.7428,0.00000000
55.9198,0.00000003
56.0967,0.00000008
56.2737,0.00000004
56.4506,0.00000000
56.6276,0.00000003
56.8046,0.00000008
56.9815,0.00000004
57.1585,0.00000000
57.3354,0.00000003
57.5124,0.00000008
57.6894,0.00000004
57.8663,0.00000000
58.0433,0.00000003
58.2202,0.00000008
58.3972,0.00000004
58.5742,0.00000000
58.7511,0.00000003
58.9281,0.00000008
59.1051,0.00000004
59.2820,0.00000000
59.4590,0.00000003
59.6359,0.00000007
59.8129,0.00000004
59.9899,0.00000000
60.1668,0.00000003
60.3438,0.00000007
60.5207,0.00000004
60.6977,0.00000000
60.8747,0.00000003
61.0516,0.00000007
61.2286,0.00000004
61.4056,0.00000000
61.5825,0.00000003
61.7595,0.00000007
61.9364,0.00000004
62.1134,0.00000000
62.2904,0.00000003
62.4673,0.00000007
62.6443,0.00000004
62.8212,0.00000000
62.9982,0.00000003
63.1752,0.00000007
63.3521,0.00000004
63.5291,0.00000001
63.7060,0.00000003
63.8830,0.00000007
64.0600,0.00000004
64.2369,0.00000001
64.4139,0.00000003
64.5909,0.00000007
64.7678,0.00000004
64.9448,0.00000001
65.1217,0.00000003
65.2987,0.00000007
65.4757,0.00000004
65.6526,0.00000001
65.8296,0.00000004
66.0065,0.00000007
66.1835,0.00000005
66.3605,0.00000001
66.5374,0.00000004
66.7144,0.00000007
66.8914,0.00000005
67.0683,0.00000001
67.2453,0.00000004
67.4222,0.00000007
67.5992,0.00000005
67.7762,0.00000001
67.9531,0.00000004
68.1301,0.00000007
68.3070,0.00000005
68.4840,0.00000001
68.6610,0.00000004
68.8379,0.00000007
69.0149,0.00000005
69.1918,0.00000001
69.3688,0.00000004
69.5458,0.00000007
69.7227,0.00000005
69.8997,0.00000001
70.0767,0.00000004
70.2536,0.00000007
70.4306,0.00000005
70.6075,0.00000001
70.7845,0.00000004
70.9615,0.00000007
71.1384,0.00000005
71.3154,0.00000001
71.4923,0.00000004
71.6693,0.00000007
71.8463,0.00000005
72.0232,0.00000001
72.2002,0.00000004
72.3771,0.00000007
72.5541,0.00000005
72.7311,0.00000001
72.9080,0.00000004
73.0850,0.00000007
73.2620,0.00000005
73.4389,0.00000002
73.6159,0.00000004
73.7928,0.00000007
73.9698,0.00000005
74.1468,0.00000002
74.3237,0.00000004
74.5007,0.00000007
74.6776,0.00000005
74.8546,0.00000002
75.0316,0.00000004
75.2085,0.00000007
75.3855,0.00000005
75.5625,0.00000002
75.7394,0.00000004
75.9164,0.00000008
76.0933,0.00000005
76.2703,0.00000002
76.4473,0.00000004
76.6242,0.00000008
76.8012,0.00000005
76.9781,0.00000002
77.1551,0.00000004
77.3321,0.00000008
77.5090,0.00000005
77.6860,0.00000002
77.8629,0.00000004
78.0399,0.00000008
78.2169,0.00000005
78.3938,0.00000002
78.5708,0.00000004
78.7478,0.00000008
78.9247,0.00000005
79.1017,0.00000002
79.2786,0.00000004
79.4556,0.00000008
79.6326,0.00000006
79.8095,0.00000002
79.9865,0.00000005
80.1634,0.00000008
80.3404,0.00000006
80.5174,0.00000002
80.6943,0.00000005
80.8713,0.00000008
81.0483,0.00000006
81.2252,0.00000003
81.4022,0.00000005
81.5791,0.00000008
81.7561,0.00000006
81.9331,0.00000003
82.1100,0.00000005
82.2870,0.00000008
82.4639,0.00000006
82.6409,0.00000003
82.8179,0.00000005
82.9948,0.00000008
83.1718,0.00000006
83.3487,0.00000003
83.5257,0.00000005
83.7027,0.00000008
83.8796,0.00000006
84.0566,0.00000003
84.2336,0.00000005
84.4105,0.00000008
84.5875,0.00000006
84.7644,0.00000003
84.9414,0.00000005
85.1184,0.00000008
85.2953,0.00000006
85.4723,0.00000003
85.6492,0.00000005
85.8262,0.00000008
86.0032,0.00000006
86.1801,0.00000003
86.3571,0.00000005
86.5340,0.00000008
86.7110,0.00000006
86.8880,0.00000003
87.0649,0.00000005
87.2419,0.00000008
87.4189,0.00000006
87.5958,0.00000003
87.7728,0.00000005
87.9497,0.00000008
88.1267,0.00000006
88.3037,0.00000004
88.4806,0.00000005
88.6576,0.00000008
88.8345,0.00000007
89.0115,0.00000004
89.1885,0.00000006
89.3654,0.00000008
89.5424,0.00000007
89.7194,0.00000004
89.8963,0.00000006
90.0733,0.00000009
90.2502,0.00000007
90.4272,0.00000004
90.6042,0.00000006
90.7811,0.00000009
90.9581,0.00000007
91.1350,0.00000004
91.3120,0.00000006
91.4890,0.00000009
91.6659,0.00000007
91.8429,0.00000004
92.0198,0.00000006
92.1968,0.00000009
92.3738,0.00000007
92.5507,0.00000004
92.7277,0.00000006
92.9047,0.00000009
93.0816,0.00000007
93.2586,0.00000004
93.4355,0.00000006
93.6125,0.00000009
93.7895,0.00000007
93.9664,0.00000004
94.1434,0.00000006
94.3203,0.00000009
94.4973,0.00000007
94.6743,0.00000004
94.8512,0.00000006
95.0282,0.00000009
95.2051,0.00000007
95.3821,0.00000005
95.5591,0.00000006
95.7360,0.00000009
95.9130,0.00000007
96.0900,0.00000005
96.2669,0.00000006
96.4439,0.00000009
96.6208,0.00000007
96.7978,0.00000005
96.9748,0.00000006
97.1517,0.00000009
97.3287,0.00000008
97.5056,0.00000005
97.6826,0.00000007
97.8596,0.00000009
98.0365,0.00000008
98.2135,0.00000005
98.3905,0.00000007
98.5674,0.00000009
98.7444,0.00000008
98.9213,0.00000005
99.0983,0.00000007
99.2753,0.00000009
99.4522,0.00000008
99.6292,0.00000005
99.8061,0.00000007
99.9831,0.00000010
100.1601,0.00000008
100.3370,0.00000005
100.5140,0.00000007
100.6909,0.00000010
100.8679,0.00000008
101.0449,0.00000005
101.2218,0.00000007
101.3988,0.00000010
101.5758,0.00000008
101.7527,0.00000006
101.9297,0.00000007
102.1066,0.00000010
102.2836,0.00000008
102.4606,0.00000006
102.6375,0.00000007
102.8145,0.00000010
102.9914,0.00000008
103.1684,0.00000006
103.3454,0.00000007
103.5223,0.00000010
103.6993,0.00000008
103.8763,0.00000006
104.0532,0.00000007
104.2302,0.00000010
104.4071,0.00000009
104.5841,0.00000006
104.7611,0.00000008
104.9380,0.00000010
105.1150,0.00000009
105.2919,0.00000006
105.4689,0.00000008
105.6459,0.00000010
105.8228,0.00000009
105.9998,0.00000006
106.1767,0.00000008
106.3537,0.00000010
106.5307,0.00000009
106.7076,0.00000006
106.8846,0.00000008
107.0616,0.00000010
107.2385,0.00000009
107.4155,0.00000007
107.5924,0.00000008
107.7694,0.00000010
107.9464,0.00000009
108.1233,0.00000007
108.3003,0.00000008
108.4772,0.00000011
108.6542,0.00000009
108.8312,0.00000007
109.0081,0.00000008
109.1851,0.00000011
109.3620,0.00000009
109.5390,0.00000007
109.7160,0.00000008
109.8929,0.00000011
110.0699,0.00000009
110.2469,0.00000007
110.4238,0.00000008
110.6008,0.00000011
110.7777,0.00000010
110.9547,0.00000007
111.1317,0.00000009
111.3086,0.00000011
111.4856,0.00000010
111.6625,0.00000007
111.8395,0.00000009
112.0165,0.00000011
112.1934,0.00000010
112.3704,0.00000007
112.5474,0.00000009
112.7243,0.00000011
112.9013,0.00000010
113.0782,0.00000008
113.2552,0.00000009
113.4322,0.00000011
113.6091,0.00000010
113.7861,0.00000008
113.9630,0.00000009
114.1400,0.00000011
114.3170,0.00000010
114.4939,0.00000008
114.6709,0.00000009
114.8478,0.00000011
115.0248,0.00000010
115.2018,0.00000008
115.3787,0.00000009
115.5557,0.00000012
115.7327,0.00000010
115.9096,0.00000008
116.0866,0.00000009
116.2635,0.00000012
116.4405,0.00000010
116.6175,0.00000008
116.7944,0.00000009
116.9714,0.00000012
117.1483,0.00000011
117.3253,0.00000008
117.5023,0.00000010
117.6792,0.00000012
117.8562,0.00000011
118.0332,0.00000008
118.2101,0.00000010
118.3871,0.00000012
118.5640,0.00000011
118.7410,0.00000009
118.9180,0.00000010
119.0949,0.00000012
119.2719,0.00000011
119.4488,0.00000009
119.6258,0.00000010
119.8028,0.00000012
119.9797,0.00000011
120.1567,0.00000009
120.3336,0.00000010
120.5106,0.00000012
120.6876,0.00000011
120.8645,0.00000009
121.0415,0.00000010
121.2185,0.00000012
121.3954,0.00000011
121.5724,0.00000009
121.7493,0.00000010
121.9263,0.00000013
122.1033,0.00000011
122.2802,0.00000009
122.4572,0.00000010
122.6341,0.00000013
122.8111,0.00000012
122.9881,0.00000009
123.1650,0.00000011
123.3420,0.00000013
123.5189,0.00000012
123.6959,0.00000009
123.8729,0.00000011
124.0498,0.00000013
124.2268,0.00000012
124.4038,0.00000010
124.5807,0.00000011
124.7577,0.00000013
124.9346,0.00000012
125.1116,0.00000010
125.2886,0.00000011
125.4655,0.00000013
125.6425,0.00000012
125.8194,0.00000010
125.9964,0.00000011
126.1734,0.00000013
126.3503,0.00000012
126.5273,0.00000010
126.7043,0.00000011
126.8812,0.00000013
127.0582,0.00000012
127.2351,0.00000010
127.4121,0.00000011
127.5891,0.00000013
127.7660,0.00000012
127.9430,0.00000010
128.1199,0.00000011
128.2969,0.00000014
128.4739,0.00000013
128.6508,0.00000010
128.8278,0.00000012
129.0047,0.00000014
129.1817,0.00000013
129.3587,0.00000011
129.5356,0.00000012
129.7126,0.00000014
129.8896,0.00000013
130.0665,0.00000011
130.2435,0.00000012
130.4204,0.00000014
130.5974,0.00000013
130.7744,0.00000011
130.9513,0.00000012
131.1283,0.00000014
131.3052,0.00000013
131.4822,0.00000011
131.6592,0.00000012
131.8361,0.00000014
132.0131,0.00000013
132.1900,0.00000011
132.3670,0.00000012
132.5440,0.00000014
132.7209,0.00000013
132.8979,0.00000011
133.0749,0.00000012
133.2518,0.00000014
133.4288,0.00000013
133.6057,0.00000011
133.7827,0.00000012
133.9597,0.00000015
134.1366,0.00000014
134.3136,0.00000012
134.4905,0.00000013
134.6675,0.00000015
134.8445,0.00000014
135.0214,0.00000012
135.1984,0.00000013
135.3754,0.00000015
135.5523,0.00000014
135.7293,0.00000012
135.9062,0.00000013
136.0832,0.00000015
136.2602,0.00000014
136.4371,0.00000012
136.6141,0.00000013
136.7910,0.00000015
136.9680,0.00000014
137.1450,0.00000012
137.3219,0.00000013
137.4989,0.00000015
137.6758,0.00000014
137.8528,0.00000012
138.0298,0.00000013
138.2067,0.00000015
138.3837,0.00000014
138.5607,0.00000012
138.7376,0.00000013
138.9146,0.00000015
139.0915,0.00000015
139.2685,0.00000013
139.4455,0.00000014
139.6224,0.00000016
139.7994,0.00000015
139.9763,0.00000013
140.1533,0.00000014
140.3303,0.00000016
140.5072,0.00000015
140.6842,0.00000013
140.8612,0.00000014
141.0381,0.00000016
141.2151,0.00000015
141.3920,0.00000013
141.5690,0.00000014
141.7460,0.00000016
141.9229,0.00000015
142.0999,0.00000013
142.2768,0.00000014
142.4538,0.00000016
142.6308,0.00000015
142.8077,0.00000013
142.9847,0.00000014
143.1616,0.00000016
143.3386,0.00000015
143.5156,0.00000014
143.6925,0.00000014
143.8695,0.00000016
144.0465,0.00000016
144.2234,0.00000014
144.4004,0.00000015
144.5773,0.00000017
144.7543,0.00000016
144.9313,0.00000014
145.1082,0.00000015
145.2852,0.00000017
145.4621,0.00000016
145.6391,0.00000014
145.8161,0.00000015
145.9930,0.00000017
146.1700,0.00000016
146.3469,0.00000014
146.5239,0.00000015
146.7009,0.00000017
146.8778,0.00000016
147.0548,0.00000014
147.2318,0.00000015
147.4087,0.00000017
147.5857,0.00000016
147.7626,0.00000014
147.9396,0.00000015
148.1166,0.00000017
148.2935,0.00000016
148.4705,0.00000015
148.6474,0.00000015
148.8244,0.00000017
149.0014,0.00000017
149.1783,0.00000015
149.3553,0.00000016
149.5323,0.00000018
149.7092,0.00000017
149.8862,0.00000015
150.0631,0.00000016
150.2401,0.00000018
150.4171,0.00000017
150.5940,0.00000015
150.7710,0.00000016
150.9479,0.00000018
151.1249,0.00000017
151.3019,0.00000015
151.4788,0.00000016
151.6558,0.00000018
151.8327,0.00000017
152.0097,0.00000015
152.1867,0.00000016
152.3636,0.00000018
152.5406,0.00000017
152.7176,0.00000016
152.8945,0.00000016
153.0715,0.00000018
153.2484,0.00000018
153.4254,0.00000016
153.6024,0.00000017
153.7793,0.00000018
153.9563,0.00000018
154.1332,0.00000016
154.3102,0.00000017
154.4872,0.00000019
154.6641,0.00000018
154.8411,0.00000016
155.0181,0.00000017
155.1950,0.00000019
155.3720,0.00000018
155.5489,0.00000016
155.7259,0.00000017
155.9029,0.00000019
156.0798,0.00000018
156.2568,0.00000016
156.4337,0.00000017
156.6107,0.00000019
156.7877,0.00000018
156.9646,0.00000017
157.1416,0.00000017
157.3185,0.00000019
157.4955,0.00000018
157.6725,0.00000017
157.8494,0.00000018
158.0264,0.00000019
158.2034,0.00000019
158.3803,0.00000017
158.5573,0.00000018
158.7342,0.00000020
158.9112,0.00000019
159.0882,0.00000017
159.2651,0.00000018
159.4421,0.00000020
159.6190,0.00000019
159.7960,0.00000017
159.9730,0.00000018
160.1499,0.00000020
160.3269,0.00000019
160.5038,0.00000017
160.6808,0.00000018
160.8578,0.00000020
161.0347,0.00000019
161.2117,0.00000018
161.3887,0.00000018
161.5656,0.00000020
161.7426,0.00000019
161.9195,0.00000018
162.0965,0.00000019
162.2735,0.00000020
162.4504,0.00000020
162.6274,0.00000018
162.8043,0.00000019
162.9813,0.00000020
163.1583,0.00000020
163.3352,0.00000018
163.5122,0.00000019
163.6892,0.00000021
163.8661,0.00000020
164.0431,0.00000018
164.2200,0.00000019
164.3970,0.00000021
164.5740,0.00000020
164.7509,0.00000018
164.9279,0.00000019
165.1048,0.00000021
165.2818,0.00000020
165.4588,0.00000019
165.6357,0.00000019
165.8127,0.00000021
165.9896,0.00000020
166.1666,0.00000019
166.3436,0.00000020
166.5205,0.00000021
166.6975,0.00000021
166.8745,0.00000019
167.0514,0.00000020
167.2284,0.00000021
167.4053,0.00000021
167.5823,0.00000019
167.7593,0.00000020
167.9362,0.00000022
168.1132,0.00000021
168.2901,0.00000019
168.4671,0.00000020
168.6441,0.00000022
168.8210,0.00000021
168.9980,0.00000019
169.1749,0.00000020
169.3519,0.00000022
169.5289,0.00000021
169.7058,0.00000020
169.8828,0.00000020
170.0598,0.00000022
170.2367,0.00000021
