# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-04-20T22:51:21.206617
frequency_cm-1,intensity_normalized
0.1770,0.00032332
0.3539,0.00130859
0.5309,0.00317548
0.7078,0.00660455
0.8848,0.01253593
1.0618,0.02129820
1.2387,0.03164144
1.4157,0.04072757
1.5927,0.04558065
1.7696,0.04517712
1.9466,0.04149271
2.1235,0.03839575
2.3005,0.03893829
2.4775,0.04297784
2.6544,0.04701913
2.8314,0.04664211
3.0083,0.03990521
3.1853,0.02916005
3.3623,0.01972608
3.5392,0.01629536
3.7162,0.01980332
3.8931,0.02708985
4.0701,0.03332327
4.2471,0.03506886
4.4240,0.03185237
4.6010,0.02571663
4.7780,0.01975723
4.9549,0.01678900
5.1319,0.01858345
5.3088,0.02556802
5.4858,0.03684600
5.6628,0.05052124
5.8397,0.06427563
6.0167,0.07601907
6.1936,0.08437056
6.3706,0.08876755
6.5476,0.08915608
6.7245,0.08551063
6.9015,0.07768229
7.0784,0.06589601
7.2554,0.05154528
7.4324,0.03737080
7.6093,0.02642627
7.7863,0.02036488
7.9633,0.01843684
8.1402,0.01815214
8.3172,0.01712438
8.4941,0.01458264
8.6711,0.01144017
8.8481,0.00915965
9.0250,0.00856711
9.2020,0.00948598
9.3789,0.01113191
9.5559,0.01265586
9.7329,0.01341625
9.9098,0.01303428
10.0868,0.01146605
10.2638,0.00912940
10.4407,0.00689031
10.6177,0.00573961
10.7946,0.00626175
10.9716,0.00824522
11.1486,0.01074887
11.3255,0.01261253
11.5025,0.01306029
11.6794,0.01200173
11.8564,0.00991475
12.0334,0.00750760
12.2103,0.00542697
12.3873,0.00411565
12.5642,0.00375878
12.7412,0.00425243
12.9182,0.00521744
13.0951,0.00611917
13.2721,0.00648767
13.4491,0.00613462
13.6260,0.00522965
13.8030,0.00416956
13.9799,0.00331512
14.1569,0.00278033
14.3339,0.00243236
14.5108,0.00208961
14.6878,0.00172829
14.8647,0.00150166
15.0417,0.00156378
15.2187,0.00188672
15.3956,0.00226136
15.5726,0.00247424
15.7496,0.00247287
15.9265,0.00235928
16.1035,0.00224405
16.2804,0.00212959
16.4574,0.00193474
16.6344,0.00160861
16.8113,0.00120082
16.9883,0.00082710
17.1652,0.00058517
17.3422,0.00050476
17.5192,0.00055371
17.6961,0.00066518
17.8731,0.00075986
18.0500,0.00077301
18.2270,0.00069449
18.4040,0.00059434
18.5809,0.00059365
18.7579,0.00078216
18.9349,0.00113978
19.1118,0.00152765
19.2888,0.00176309
19.4657,0.00172772
19.6427,0.00143435
19.8197,0.00101054
19.9966,0.00061574
20.1736,0.00035148
20.3505,0.00022375
20.5275,0.00017424
20.7045,0.00014553
20.8814,0.00012330
21.0584,0.00012606
21.2353,0.00016358
21.4123,0.00021274
21.5893,0.00023726
21.7662,0.00022965
21.9432,0.00022877
22.1202,0.00029017
22.2971,0.00043304
22.4741,0.00061154
22.6510,0.00073800
22.8280,0.00074066
23.0050,0.00061150
23.1819,0.00040969
23.3589,0.00022171
23.5358,0.00010977
23.7128,0.00008341
23.8898,0.00010837
24.0667,0.00013886
24.2437,0.00014696
24.4207,0.00013121
24.5976,0.00010591
24.7746,0.00008554
24.9515,0.00007685
25.1285,0.00007973
25.3055,0.00009075
25.4824,0.00010465
25.6594,0.00011473
25.8363,0.00011485
26.0133,0.00010291
26.1903,0.00008269
26.3672,0.00006184
26.5442,0.00004699
26.7211,0.00003979
26.8981,0.00003680
27.0751,0.00003325
27.2520,0.00002745
27.4290,0.00002216
27.6060,0.00002174
27.7829,0.00002773
27.9599,0.00003705
28.1368,0.00004412
28.3138,0.00004482
28.4908,0.00003884
28.6677,0.00002921
28.8447,0.00002052
29.0216,0.00001742
29.1986,0.00002338
29.3756,0.00003907
29.5525,0.00006086
29.7295,0.00008135
29.9065,0.00009260
30.0834,0.00009027
30.2604,0.00007578
30.4373,0.00005494
30.6143,0.00003454
30.7913,0.00001935
30.9682,0.00001111
31.1452,0.00000935
31.3221,0.00001242
31.4991,0.00001825
31.6761,0.00002478
31.8530,0.00003066
32.0300,0.00003598
32.2069,0.00004238
32.3839,0.00005170
32.5609,0.00006406
32.7378,0.00007667
32.9148,0.00008476
33.0918,0.00008421
33.2687,0.00007411
33.4457,0.00005738
33.6226,0.00003917
33.7996,0.00002425
33.9766,0.00001496
34.1535,0.00001077
34.3305,0.00000943
34.5074,0.00000872
34.6844,0.00000759
34.8614,0.00000641
35.0383,0.00000627
35.2153,0.00000796
35.3922,0.00001147
35.5692,0.00001587
35.7462,0.00001974
35.9231,0.00002178
36.1001,0.00002133
36.2771,0.00001878
36.4540,0.00001532
36.6310,0.00001237
36.8079,0.00001083
36.9849,0.00001070
37.1619,0.00001125
37.3388,0.00001156
37.5158,0.00001104
37.6927,0.00000974
37.8697,0.00000810
38.0467,0.00000661
38.2236,0.00000553
38.4006,0.00000487
38.5776,0.00000459
38.7545,0.00000467
38.9315,0.00000514
39.1084,0.00000593
