# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-04-20T23:07:58.225806
frequency_cm-1,intensity_normalized
0.1770,0.00047650
0.3539,0.00192560
0.5309,0.00442498
0.7078,0.00821012
0.8848,0.01374726
1.0618,0.02138867
1.2387,0.03052363
1.4157,0.03899713
1.5927,0.04381055
1.7696,0.04302633
1.9466,0.03739966
2.1235,0.03021324
2.3005,0.02528348
2.4775,0.02462924
2.6544,0.02745804
2.8314,0.03101442
3.0083,0.03252236
3.1853,0.03083524
3.3623,0.02675420
3.5392,0.02202219
3.7162,0.01800108
3.8931,0.01513743
4.0701,0.01339765
4.2471,0.01285764
4.4240,0.01364252
4.6010,0.01535851
4.7780,0.01690050
4.9549,0.01718977
5.1319,0.01635280
5.3088,0.01618529
5.4858,0.01915393
5.6628,0.02640065
5.8397,0.03625664
6.0167,0.04467556
6.1936,0.04759712
6.3706,0.04358658
6.5476,0.03469906
6.7245,0.02492913
6.9015,0.01760190
7.0784,0.01376373
7.2554,0.01247636
7.4324,0.01221373
7.6093,0.01196253
7.7863,0.01139846
7.9633,0.01052477
8.1402,0.00939572
8.3172,0.00810015
8.4941,0.00679897
8.6711,0.00566587
8.8481,0.00479950
9.0250,0.00420586
9.2020,0.00382706
9.3789,0.00355195
9.5559,0.00323294
9.7329,0.00277682
9.9098,0.00227986
10.0868,0.00206592
10.2638,0.00252938
10.4407,0.00386048
10.6177,0.00585386
10.7946,0.00794727
10.9716,0.00946691
11.1486,0.00992641
11.3255,0.00922124
11.5025,0.00764430
11.6794,0.00574027
11.8564,0.00407402
12.0334,0.00301230
12.2103,0.00261084
12.3873,0.00265326
12.5642,0.00281177
12.7412,0.00283458
12.9182,0.00265732
13.0951,0.00239184
13.2721,0.00222061
13.4491,0.00226711
13.6260,0.00251088
13.8030,0.00278879
13.9799,0.00288596
14.1569,0.00267158
14.3339,0.00219442
14.5108,0.00166183
14.6878,0.00130364
14.8647,0.00121680
15.0417,0.00131078
15.2187,0.00139342
15.3956,0.00132095
15.5726,0.00108874
15.7496,0.00080210
