# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-05-13T16:06:04.719363
frequency_cm-1,intensity_normalized
0.1770,0.00000001
0.3539,0.00000006
0.5309,0.00000016
0.7078,0.00000026
0.8848,0.00000030
1.0618,0.00000026
1.2387,0.00000017
1.4157,0.00000013
1.5927,0.00000020
1.7696,0.00000043
1.9466,0.00000096
2.1235,0.00000204
2.3005,0.00000391
2.4775,0.00000646
2.6544,0.00000913
2.8314,0.00001122
3.0083,0.00001234
3.1853,0.00001281
3.3623,0.00001366
3.5392,0.00001655
3.7162,0.00002409
3.8931,0.00003966
4.0701,0.00006591
4.2471,0.00010171
4.4240,0.00013974
4.6010,0.00016759
4.7780,0.00017360
4.9549,0.00015380
5.1319,0.00011501
5.3088,0.00007112
5.4858,0.00003531
5.6628,0.00001370
5.8397,0.00000463
6.0167,0.00000249
6.1936,0.00000233
6.3706,0.00000198
6.5476,0.00000145
6.7245,0.00000148
6.9015,0.00000254
7.0784,0.00000462
7.2554,0.00000721
7.4324,0.00000946
7.6093,0.00001052
7.7863,0.00001003
7.9633,0.00000831
8.1402,0.00000622
8.3172,0.00000450
8.4941,0.00000343
8.6711,0.00000278
8.8481,0.00000223
9.0250,0.00000160
9.2020,0.00000099
9.3789,0.00000053
9.5559,0.00000026
9.7329,0.00000013
9.9098,0.00000008
10.0868,0.00000008
10.2638,0.00000015
10.4407,0.00000023
10.6177,0.00000030
10.7946,0.00000031
10.9716,0.00000029
11.1486,0.00000042
11.3255,0.00000103
11.5025,0.00000260
11.6794,0.00000542
11.8564,0.00000932
12.0334,0.00001345
12.2103,0.00001658
12.3873,0.00001769
12.5642,0.00001646
12.7412,0.00001343
12.9182,0.00000964
13.0951,0.00000612
13.2721,0.00000359
13.4491,0.00000232
13.6260,0.00000229
13.8030,0.00000323
13.9799,0.00000469
14.1569,0.00000610
14.3339,0.00000692
14.5108,0.00000684
14.6878,0.00000591
14.8647,0.00000448
15.0417,0.00000302
15.2187,0.00000191
15.3956,0.00000129
15.5726,0.00000110
15.7496,0.00000116
15.9265,0.00000128
16.1035,0.00000132
16.2804,0.00000121
16.4574,0.00000098
16.6344,0.00000070
16.8113,0.00000049
16.9883,0.00000041
17.1652,0.00000050
17.3422,0.00000072
17.5192,0.00000102
17.6961,0.00000129
17.8731,0.00000145
18.0500,0.00000147
18.2270,0.00000137
18.4040,0.00000120
18.5809,0.00000101
18.7579,0.00000084
18.9349,0.00000068
19.1118,0.00000053
19.2888,0.00000038
19.4657,0.00000025
19.6427,0.00000016
19.8197,0.00000012
19.9966,0.00000011
20.1736,0.00000012
20.3505,0.00000013
20.5275,0.00000013
20.7045,0.00000013
20.8814,0.00000013
21.0584,0.00000013
21.2353,0.00000011
21.4123,0.00000008
21.5893,0.00000005
21.7662,0.00000006
21.9432,0.00000015
22.1202,0.00000038
22.2971,0.00000073
22.4741,0.00000114
22.6510,0.00000149
22.8280,0.00000166
23.0050,0.00000159
23.1819,0.00000131
23.3589,0.00000093
23.5358,0.00000056
23.7128,0.00000028
23.8898,0.00000012
24.0667,0.00000005
24.2437,0.00000002
24.4207,0.00000001
24.5976,0.00000001
24.7746,0.00000002
24.9515,0.00000003
25.1285,0.00000004
25.3055,0.00000005
25.4824,0.00000006
25.6594,0.00000007
25.8363,0.00000009
26.0133,0.00000010
26.1903,0.00000011
26.3672,0.00000013
26.5442,0.00000016
26.7211,0.00000022
26.8981,0.00000032
27.0751,0.00000054
27.2520,0.00000094
27.4290,0.00000155
27.6060,0.00000233
27.7829,0.00000312
27.9599,0.00000369
28.1368,0.00000384
28.3138,0.00000351
28.4908,0.00000281
28.6677,0.00000195
28.8447,0.00000116
29.0216,0.00000059
29.1986,0.00000024
29.3756,0.00000009
29.5525,0.00000004
29.7295,0.00000005
29.9065,0.00000006
30.0834,0.00000007
30.2604,0.00000008
30.4373,0.00000009
30.6143,0.00000012
30.7913,0.00000015
30.9682,0.00000018
31.1452,0.00000021
31.3221,0.00000026
31.4991,0.00000033
31.6761,0.00000045
31.8530,0.00000067
32.0300,0.00000099
32.2069,0.00000138
32.3839,0.00000177
32.5609,0.00000204
32.7378,0.00000209
32.9148,0.00000191
33.0918,0.00000155
33.2687,0.00000113
33.4457,0.00000077
33.6226,0.00000051
33.7996,0.00000036
33.9766,0.00000027
34.1535,0.00000021
34.3305,0.00000017
34.5074,0.00000012
34.6844,0.00000009
34.8614,0.00000006
35.0383,0.00000003
35.2153,0.00000002
35.3922,0.00000001
35.5692,0.00000001
35.7462,0.00000002
35.9231,0.00000004
36.1001,0.00000005
36.2771,0.00000006
36.4540,0.00000006
36.6310,0.00000006
36.8079,0.00000007
36.9849,0.00000008
37.1619,0.00000011
37.3388,0.00000014
37.5158,0.00000017
37.6927,0.00000022
37.8697,0.00000031
38.0467,0.00000045
38.2236,0.00000063
38.4006,0.00000081
38.5776,0.00000092
38.7545,0.00000093
38.9315,0.00000083
39.1084,0.00000065
39.2854,0.00000045
39.4624,0.00000028
39.6393,0.00000016
39.8163,0.00000010
39.9932,0.00000010
40.1702,0.00000013
40.3472,0.00000017
40.5241,0.00000018
40.7011,0.00000015
40.8780,0.00000010
41.0550,0.00000005
41.2320,0.00000002
41.4089,0.00000001
41.5859,0.00000002
41.7629,0.00000004
41.9398,0.00000006
42.1168,0.00000008
42.2937,0.00000011
42.4707,0.00000014
42.6477,0.00000018
42.8246,0.00000022
43.0016,0.00000028
43.1785,0.00000036
43.3555,0.00000047
43.5325,0.00000059
43.7094,0.00000069
43.8864,0.00000073
44.0633,0.00000068
44.2403,0.00000056
44.4173,0.00000040
44.5942,0.00000027
44.7712,0.00000018
44.9482,0.00000014
45.1251,0.00000013
45.3021,0.00000014
45.4790,0.00000021
45.6560,0.00000041
45.8330,0.00000077
46.0099,0.00000131
46.1869,0.00000200
46.3638,0.00000278
46.5408,0.00000359
46.7178,0.00000434
46.8947,0.00000486
47.0717,0.00000500
47.2487,0.00000464
47.4256,0.00000381
47.6026,0.00000271
47.7795,0.00000162
47.9565,0.00000076
48.1335,0.00000025
48.3104,0.00000005
48.4874,0.00000002
48.6643,0.00000006
48.8413,0.00000009
49.0183,0.00000010
49.1952,0.00000012
49.3722,0.00000013
49.5491,0.00000014
49.7261,0.00000015
49.9031,0.00000015
50.0800,0.00000013
50.2570,0.00000027
50.4340,0.00000119
50.6109,0.00000428
50.7879,0.00001140
50.9648,0.00002385
51.1418,0.00004087
51.3188,0.00005894
51.4957,0.00007263
51.6727,0.00007712
51.8496,0.00007077
52.0266,0.00005602
52.2036,0.00003804
52.3805,0.00002197
52.5575,0.00001071
52.7345,0.00000446
