# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-04-09T14:57:50.737265
frequency_cm-1,intensity_normalized
0.1770,0.00000000
0.3539,0.00000001
0.5309,0.00000002
0.7078,0.00000003
0.8848,0.00000003
1.0618,0.00000002
1.2387,0.00000002
1.4157,0.00000003
1.5927,0.00000005
1.7696,0.00000009
1.9466,0.00000018
2.1235,0.00000032
2.3005,0.00000049
2.4775,0.00000068
2.6544,0.00000087
2.8314,0.00000102
3.0083,0.00000108
3.1853,0.00000105
3.3623,0.00000095
3.5392,0.00000086
3.7162,0.00000083
3.8931,0.00000081
4.0701,0.00000075
4.2471,0.00000061
4.4240,0.00000045
4.6010,0.00000034
4.7780,0.00000032
4.9549,0.00000036
5.1319,0.00000037
5.3088,0.00000036
5.4858,0.00000048
5.6628,0.00000104
5.8397,0.00000228
6.0167,0.00000421
6.1936,0.00000645
6.3706,0.00000837
6.5476,0.00000937
6.7245,0.00000914
6.9015,0.00000781
7.0784,0.00000585
7.2554,0.00000385
7.4324,0.00000229
7.6093,0.00000135
7.7863,0.00000095
7.9633,0.00000083
8.1402,0.00000076
8.3172,0.00000065
8.4941,0.00000052
8.6711,0.00000040
8.8481,0.00000034
9.0250,0.00000036
9.2020,0.00000044
9.3789,0.00000059
9.5559,0.00000072
9.7329,0.00000079
9.9098,0.00000075
10.0868,0.00000061
10.2638,0.00000042
10.4407,0.00000025
10.6177,0.00000013
10.7946,0.00000008
10.9716,0.00000012
11.1486,0.00000023
11.3255,0.00000045
11.5025,0.00000075
11.6794,0.00000109
11.8564,0.00000140
12.0334,0.00000166
12.2103,0.00000209
12.3873,0.00000308
12.5642,0.00000501
12.7412,0.00000787
12.9182,0.00001115
13.0951,0.00001407
13.2721,0.00001607
13.4491,0.00001730
13.6260,0.00001844
13.8030,0.00002004
13.9799,0.00002191
14.1569,0.00002310
14.3339,0.00002252
14.5108,0.00001979
14.6878,0.00001556
14.8647,0.00001103
15.0417,0.00000730
15.2187,0.00000483
15.3956,0.00000353
15.5726,0.00000309
15.7496,0.00000332
15.9265,0.00000414
16.1035,0.00000542
16.2804,0.00000681
16.4574,0.00000777
16.6344,0.00000784
16.8113,0.00000684
16.9883,0.00000512
17.1652,0.00000341
17.3422,0.00000255
17.5192,0.00000289
17.6961,0.00000392
17.8731,0.00000472
18.0500,0.00000545
18.2270,0.00000878
18.4040,0.00001986
18.5809,0.00004403
18.7579,0.00008320
18.9349,0.00013310
19.1118,0.00018331
19.2888,0.00022123
19.4657,0.00023980
19.6427,0.00024675
19.8197,0.00026897
19.9966,0.00034432
20.1736,0.00049869
20.3505,0.00071928
20.5275,0.00094506
20.7045,0.00108894
20.8814,0.00108380
21.0584,0.00092255
21.2353,0.00066306
21.4123,0.00039416
21.5893,0.00018755
21.7662,0.00006879
21.9432,0.00002126
22.1202,0.00001147
22.2971,0.00001262
22.4741,0.00001297
22.6510,0.00001142
22.8280,0.00001000
23.0050,0.00001009
23.1819,0.00001189
23.3589,0.00001477
23.5358,0.00001749
23.7128,0.00001884
23.8898,0.00001847
24.0667,0.00001727
24.2437,0.00001672
24.4207,0.00001800
24.5976,0.00002108
24.7746,0.00002426
24.9515,0.00002482
25.1285,0.00002117
25.3055,0.00001489
25.4824,0.00000966
25.6594,0.00000787
25.8363,0.00000949
26.0133,0.00001433
26.1903,0.00002300
26.3672,0.00003386
26.5442,0.00004244
26.7211,0.00004697
26.8981,0.00004977
27.0751,0.00004844
27.2520,0.00003943
27.4290,0.00005026
27.6060,0.00014382
27.7829,0.00032137
27.9599,0.00045178
28.1368,0.00063248
28.3138,0.00222319
28.4908,0.00890576
28.6677,0.02621376
28.8447,0.05841631
29.0216,0.10389265
29.1986,0.15251829
29.3756,0.18838223
29.5525,0.19751712
29.7295,0.17591672
29.9065,0.13207102
30.0834,0.08203804
