# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 50000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-04-09T20:23:04.627075
frequency_cm-1,intensity_normalized
1.5885,0.02156564
3.1770,0.24970933
4.7656,0.67444147
6.3541,0.90670733
7.9426,0.97157196
9.5311,1.00000000
11.1196,0.89415523
12.7082,0.74509419
14.2967,0.69055818
15.8852,0.66574428
17.4737,0.63727753
19.0623,0.55618068
20.6508,0.43571412
22.2393,0.32208667
23.8278,0.21621365
25.4163,0.12873264
27.0049,0.07117516
28.5934,0.03108346
30.1819,0.01921680
31.7704,0.01496648
33.3589,0.01662645
34.9475,0.01841460
36.5360,0.01807911
38.1245,0.01531672
39.7130,0.01066809
41.3015,0.00604858
42.8901,0.00304995
44.4786,0.00206115
46.0671,0.00175443
47.6556,0.00249793
49.2442,0.00317426
50.8327,0.00316110
52.4212,0.00264869
54.0097,0.00172846
55.5982,0.00098786
57.1868,0.00061981
58.7753,0.00053364
60.3638,0.00065868
61.9523,0.00095670
63.5408,0.00113131
65.1294,0.00098883
66.7179,0.00078923
68.3064,0.00051266
69.8949,0.00030856
71.4834,0.00027614
73.0720,0.00021944
74.6605,0.00032809
76.2490,0.00043391
77.8375,0.00039862
79.4261,0.00036029
81.0146,0.00027336
82.6031,0.00015639
84.1916,0.00012836
85.7801,0.00013171
87.3687,0.00018324
88.9572,0.00029318
90.5457,0.00034554
92.1342,0.00041753
93.7227,0.00056831
95.3113,0.00068140
96.8998,0.00081583
98.4883,0.00092217
100.0768,0.00102091
101.6653,0.00122797
103.2539,0.00149269
104.8424,0.00183774
106.4309,0.00219039
108.0194,0.00242628
109.6080,0.00248974
111.1965,0.00238982
112.7850,0.00218889
114.3735,0.00188525
115.9620,0.00150151
117.5506,0.00109817
119.1391,0.00074430
120.7276,0.00048672
122.3161,0.00033865
123.9046,0.00033333
125.4932,0.00042966
127.0817,0.00057956
128.6702,0.00075191
130.2587,0.00093778
131.8472,0.00117151
133.4358,0.00141820
135.0243,0.00171428
136.6128,0.00213408
138.2013,0.00268207
139.7899,0.00340422
141.3784,0.00402158
142.9669,0.00474566
144.5554,0.00540788
146.1439,0.00624416
147.7325,0.00743004
149.3210,0.00909162
150.9095,0.01183952
152.4980,0.01565272
154.0865,0.01979297
155.6751,0.02218407
157.2636,0.02198502
158.8521,0.02041938
160.4406,0.01835679
162.0291,0.01549041
163.6177,0.01191538
165.2062,0.00872359
166.7947,0.00632264
168.3832,0.00466962
169.9718,0.00354219
171.5603,0.00273534
173.1488,0.00214576
174.7373,0.00161687
176.3258,0.00121707
177.9144,0.00086431
179.5029,0.00060817
181.0914,0.00042541
182.6799,0.00029125
184.2684,0.00022512
185.8570,0.00016869
187.4455,0.00014368
189.0340,0.00011909
190.6225,0.00010040
192.2110,0.00008011
193.7996,0.00006379
195.3881,0.00004588
196.9766,0.00003795
198.5651,0.00003304
200.1537,0.00002943
201.7422,0.00002557
203.3307,0.00002125
204.9192,0.00001667
206.5077,0.00001248
208.0963,0.00000916
209.6848,0.00000759
211.2733,0.00001160
212.8618,0.00001867
214.4503,0.00002736
216.0389,0.00003717
217.6274,0.00004209
219.2159,0.00004587
220.8044,0.00004693
222.3929,0.00004528
223.9815,0.00003992
225.5700,0.00003331
227.1585,0.00002957
228.7470,0.00002793
230.3356,0.00002726
231.9241,0.00002761
233.5126,0.00002895
235.1011,0.00003104
236.6896,0.00003262
238.2782,0.00003392
239.8667,0.00003434
241.4552,0.00003424
243.0437,0.00003464
244.6322,0.00003817
246.2208,0.00005006
247.8093,0.00007427
249.3978,0.00012717
250.9863,0.00021403
252.5748,0.00040347
254.1634,0.00090649
255.7519,0.00218226
257.3404,0.00452360
258.9289,0.00730503
260.5175,0.00903877
262.1060,0.00863031
263.6945,0.00650869
265.2830,0.00420026
266.8715,0.00288444
268.4601,0.00256552
270.0486,0.00270478
271.6371,0.00307437
273.2256,0.00422009
274.8141,0.00658015
276.4027,0.00898954
277.9912,0.00931615
279.5797,0.00709042
281.1682,0.00413721
282.7567,0.00222877
284.3453,0.00159623
285.9338,0.00160328
287.5223,0.00171628
289.1108,0.00167299
290.6994,0.00141565
292.2879,0.00109393
293.8764,0.00086170
295.4649,0.00072169
297.0534,0.00060992
298.6420,0.00050121
300.2305,0.00040536
301.8190,0.00032178
303.4075,0.00025618
304.9960,0.00020486
306.5846,0.00016448
308.1731,0.00013184
309.7616,0.00010549
311.3501,0.00008425
312.9386,0.00007149
314.5272,0.00006400
316.1157,0.00006474
317.7042,0.00006816
319.2927,0.00007332
320.8813,0.00009228
322.4698,0.00018383
324.0583,0.00046686
325.6468,0.00097065
327.2353,0.00144359
328.8239,0.00150012
330.4124,0.00106955
332.0009,0.00052023
333.5894,0.00019241
335.1779,0.00008817
336.7665,0.00006416
338.3550,0.00007554
339.9435,0.00012832
341.5320,0.00015760
343.1205,0.00013297
344.7091,0.00012675
346.2976,0.00018501
347.8861,0.00024153
349.4746,0.00022251
351.0632,0.00015968
352.6517,0.00011965
354.2402,0.00010311
355.8287,0.00008594
357.4172,0.00006837
359.0058,0.00005132
360.5943,0.00004377
362.1828,0.00007259
363.7713,0.00015802
365.3598,0.00055059
366.9484,0.00281557
368.5369,0.00952374
370.1254,0.01923307
371.7139,0.02393329
373.3024,0.01854294
374.8910,0.00897911
376.4795,0.00325473
378.0680,0.00157073
379.6565,0.00110213
381.2451,0.00077011
382.8336,0.00052832
384.4221,0.00034129
386.0106,0.00022039
387.5991,0.00020171
389.1877,0.00024506
390.7762,0.00028047
392.3647,0.00029359
393.9532,0.00030588
395.5417,0.00032183
397.1303,0.00033031
398.7188,0.00031859
400.3073,0.00028082
401.8958,0.00022262
403.4843,0.00015817
405.0729,0.00010081
406.6614,0.00005844
408.2499,0.00003129
409.8384,0.00001605
411.4270,0.00000980
413.0155,0.00001070
414.6040,0.00001884
416.1925,0.00003365
417.7810,0.00005129
419.3696,0.00006719
420.9581,0.00007921
422.5466,0.00008459
424.1351,0.00008196
425.7236,0.00007247
427.3122,0.00005976
428.9007,0.00004724
430.4892,0.00003530
432.0777,0.00002485
433.6662,0.00001661
435.2548,0.00001078
436.8433,0.00000689
438.4318,0.00000424
440.0203,0.00000259
441.6089,0.00000179
443.1974,0.00000157
444.7859,0.00000150
446.3744,0.00000145
447.9629,0.00000138
449.5515,0.00000119
451.1400,0.00000097
452.7285,0.00000066
454.3170,0.00000038
455.9055,0.00000033
457.4941,0.00000029
459.0826,0.00000036
460.6711,0.00000046
462.2596,0.00000051
463.8481,0.00000055
465.4367,0.00000053
467.0252,0.00000050
468.6137,0.00000050
470.2022,0.00000050
471.7908,0.00000049
473.3793,0.00000050
474.9678,0.00000055
476.5563,0.00000053
478.1448,0.00000045
479.7334,0.00000038
481.3219,0.00000034
482.9104,0.00000046
484.4989,0.00000059
486.0874,0.00000070
487.6760,0.00000081
489.2645,0.00000085
490.8530,0.00000078
492.4415,0.00000068
494.0300,0.00000056
495.6186,0.00000050
497.2071,0.00000054
498.7956,0.00000058
500.3841,0.00000058
501.9727,0.00000061
503.5612,0.00000063
505.1497,0.00000060
506.7382,0.00000049
508.3267,0.00000034
509.9153,0.00000031
511.5038,0.00000047
513.0923,0.00000077
514.6808,0.00000112
516.2693,0.00000132
517.8579,0.00000130
519.4464,0.00000119
521.0349,0.00000108
522.6234,0.00000105
524.2119,0.00000141
525.8005,0.00000256
527.3890,0.00000416
528.9775,0.00000497
530.5660,0.00000436
532.1546,0.00000347
533.7431,0.00000368
535.3316,0.00000499
536.9201,0.00000614
538.5086,0.00000583
540.0972,0.00000425
541.6857,0.00000245
543.2742,0.00000124
544.8627,0.00000075
546.4512,0.00000057
548.0398,0.00000039
549.6283,0.00000021
551.2168,0.00000012
552.8053,0.00000011
554.3938,0.00000014
555.9824,0.00000015
557.5709,0.00000014
559.1594,0.00000012
560.7479,0.00000011
562.3365,0.00000014
563.9250,0.00000020
565.5135,0.00000026
567.1020,0.00000028
568.6905,0.00000026
570.2791,0.00000023
571.8676,0.00000020
573.4561,0.00000019
575.0446,0.00000020
576.6331,0.00000024
578.2217,0.00000036
579.8102,0.00000054
581.3987,0.00000078
582.9872,0.00000103
584.5757,0.00000121
586.1643,0.00000136
587.7528,0.00000165
589.3413,0.00000219
590.9298,0.00000290
592.5184,0.00000360
594.1069,0.00000403
595.6954,0.00000415
597.2839,0.00000398
598.8724,0.00000349
600.4610,0.00000287
602.0495,0.00000215
603.6380,0.00000150
