# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-04-09T20:15:26.461524
frequency_cm-1,intensity_normalized
21.5806,0.02455910
43.1613,0.43016216
64.7419,1.00000000
86.3226,0.74385849
107.9032,0.36031356
129.4838,0.30851567
151.0645,0.19596817
172.6451,0.08905826
194.2258,0.03130562
215.8064,0.00520258
237.3870,0.00592715
258.9677,0.00392926
280.5483,0.00317066
302.1290,0.00062341
323.7096,0.00121310
345.2902,0.00095270
366.8709,0.00079237
388.4515,0.00021475
410.0322,0.00035021
431.6128,0.00038725
453.1934,0.00027963
474.7741,0.00012260
496.3547,0.00012157
517.9354,0.00019166
539.5160,0.00011633
561.0966,0.00007028
582.6773,0.00005299
604.2579,0.00010007
625.8385,0.00005948
647.4192,0.00004202
668.9998,0.00002988
690.5805,0.00006093
712.1611,0.00003531
733.7417,0.00002612
755.3224,0.00001806
776.9030,0.00003672
798.4837,0.00002346
820.0643,0.00001484
841.6449,0.00001194
863.2256,0.00002124
884.8062,0.00001637
906.3869,0.00000841
927.9675,0.00000828
949.5481,0.00001352
971.1288,0.00001139
992.7094,0.00000557
1014.2901,0.00000590
1035.8707,0.00000928
1057.4513,0.00000853
1079.0320,0.00000385
1100.6126,0.00000447
1122.1933,0.00000640
1143.7739,0.00000652
1165.3545,0.00000276
1186.9352,0.00000343
1208.5158,0.00000459
1230.0965,0.00000493
1251.6771,0.00000204
1273.2577,0.00000264
1294.8384,0.00000340
1316.4190,0.00000390
1337.9997,0.00000153
1359.5803,0.00000199
1381.1609,0.00000266
1402.7416,0.00000299
1424.3222,0.00000135
1445.9029,0.00000136
1467.4835,0.00000216
1489.0641,0.00000224
1510.6448,0.00000117
1532.2254,0.00000096
1553.8061,0.00000173
1575.3867,0.00000169
1596.9673,0.00000104
1618.5480,0.00000065
1640.1286,0.00000145
1661.7092,0.00000127
1683.2899,0.00000092
1704.8705,0.00000047
1726.4512,0.00000120
1748.0318,0.00000102
1769.6124,0.00000076
1791.1931,0.00000039
1812.7737,0.00000095
1834.3544,0.00000089
1855.9350,0.00000060
1877.5156,0.00000036
1899.0963,0.00000073
1920.6769,0.00000078
1942.2576,0.00000047
1963.8382,0.00000034
1985.4188,0.00000056
2006.9995,0.00000071
2028.5801,0.00000035
2050.1608,0.00000033
2071.7414,0.00000042
2093.3220,0.00000063
2114.9027,0.00000028
2136.4833,0.00000028
2158.0640,0.00000035
2179.6446,0.00000052
2201.2252,0.00000027
2222.8059,0.00000021
2244.3865,0.00000032
2265.9672,0.00000042
2287.5478,0.00000026
2309.1284,0.00000015
2330.7091,0.00000029
2352.2897,0.00000033
2373.8704,0.00000025
2395.4510,0.00000011
2417.0316,0.00000026
2438.6123,0.00000028
2460.1929,0.00000022
2481.7736,0.00000010
2503.3542,0.00000021
2524.9348,0.00000025
2546.5155,0.00000019
2568.0961,0.00000009
2589.6768,0.00000017
2611.2574,0.00000022
2632.8380,0.00000016
2654.4187,0.00000009
2675.9993,0.00000014
2697.5799,0.00000021
2719.1606,0.00000013
2740.7412,0.00000009
2762.3219,0.00000011
2783.9025,0.00000019
2805.4831,0.00000011
2827.0638,0.00000008
2848.6444,0.00000009
2870.2251,0.00000016
2891.8057,0.00000010
2913.3863,0.00000007
2934.9670,0.00000008
2956.5476,0.00000013
2978.1283,0.00000010
2999.7089,0.00000005
3021.2895,0.00000008
3042.8702,0.00000011
3064.4508,0.00000009
3086.0315,0.00000004
3107.6121,0.00000007
3129.1927,0.00000009
3150.7734,0.00000008
3172.3540,0.00000004
3193.9347,0.00000006
3215.5153,0.00000008
3237.0959,0.00000008
3258.6766,0.00000003
3280.2572,0.00000005
3301.8379,0.00000007
3323.4185,0.00000007
3344.9991,0.00000003
3366.5798,0.00000004
3388.1604,0.00000007
3409.7411,0.00000006
3431.3217,0.00000003
3452.9023,0.00000003
3474.4830,0.00000006
3496.0636,0.00000005
3517.6443,0.00000003
3539.2249,0.00000003
3560.8055,0.00000005
3582.3862,0.00000004
3603.9668,0.00000002
3625.5475,0.00000003
3647.1281,0.00000004
3668.7087,0.00000004
3690.2894,0.00000002
3711.8700,0.00000002
3733.4507,0.00000004
3755.0313,0.00000004
3776.6119,0.00000002
3798.1926,0.00000002
3819.7732,0.00000003
3841.3538,0.00000003
3862.9345,0.00000002
3884.5151,0.00000001
3906.0958,0.00000003
3927.6764,0.00000003
3949.2570,0.00000002
3970.8377,0.00000001
3992.4183,0.00000003
4013.9990,0.00000002
4035.5796,0.00000001
4057.1602,0.00000001
4078.7409,0.00000002
4100.3215,0.00000002
4121.9022,0.00000001
4143.4828,0.00000001
4165.0634,0.00000002
4186.6441,0.00000002
4208.2247,0.00000001
4229.8054,0.00000001
4251.3860,0.00000001
4272.9666,0.00000002
4294.5473,0.00000001
4316.1279,0.00000001
4337.7086,0.00000001
4359.2892,0.00000001
4380.8698,0.00000001
4402.4505,0.00000001
4424.0311,0.00000001
4445.6118,0.00000001
4467.1924,0.00000001
4488.7730,0.00000001
