# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-04-21T10:49:41.870737
frequency_cm-1,intensity_normalized
2.0705,0.00016680
4.1411,0.00188963
6.2116,0.00394212
8.2821,0.00319083
10.3526,0.00453452
12.4232,0.01253246
14.4937,0.02353305
16.5642,0.02976291
18.6348,0.02564708
20.7053,0.01463416
22.7758,0.00578316
24.8464,0.00312664
26.9169,0.00397162
28.9874,0.00517485
31.0579,0.00546491
33.1285,0.00533202
35.1990,0.00705343
37.2695,0.01005083
39.3401,0.01130529
41.4106,0.01358444
43.4811,0.02019890
45.5516,0.03535069
47.6222,0.06841280
49.6927,0.11757400
51.7632,0.15893036
53.8338,0.16294258
55.9043,0.12570523
57.9748,0.07273718
60.0454,0.04335490
62.1159,0.07080877
64.1864,0.14173063
66.2569,0.19402393
68.3275,0.18007575
70.3980,0.11695859
72.4685,0.06083169
74.5391,0.04895753
76.6096,0.07423707
78.6801,0.10369826
80.7506,0.10922524
82.8212,0.07898886
84.8917,0.03373338
86.9622,0.01088185
89.0328,0.02351533
91.1033,0.05495268
93.1738,0.08303497
95.2444,0.09424898
97.3149,0.08626702
99.3854,0.06862278
101.4559,0.05301952
103.5265,0.04379803
105.5970,0.03726202
107.6675,0.02792957
109.7381,0.01613041
111.8086,0.00949985
113.8791,0.01182271
115.9496,0.01705182
118.0202,0.02090938
120.0907,0.02371651
122.1612,0.02374854
124.2318,0.01907053
126.3023,0.01326985
128.3728,0.01367717
130.4434,0.02458649
132.5139,0.04424578
134.5844,0.06521268
136.6549,0.07788031
138.7255,0.07845733
140.7960,0.07099434
142.8665,0.06147038
144.9371,0.05304188
147.0076,0.04611032
149.0781,0.03963407
151.1486,0.03246372
153.2192,0.02716485
155.2897,0.03626225
157.3602,0.08077421
159.4308,0.16657755
161.5013,0.26301395
163.5718,0.31476771
165.6424,0.28235246
167.7129,0.19037013
169.7834,0.12089938
171.8539,0.12883408
173.9245,0.18964435
175.9950,0.23539193
178.0655,0.21683132
180.1361,0.14710899
182.2066,0.09369600
184.2771,0.09407812
186.3476,0.12073495
188.4182,0.13301911
190.4887,0.14149839
192.5592,0.18502871
194.6298,0.27102939
196.7003,0.37351849
198.7708,0.44983205
200.8414,0.47606027
202.9119,0.45246694
204.9824,0.41255603
207.0529,0.39684559
209.1235,0.42097960
211.1940,0.48807190
213.2645,0.57817313
215.3351,0.72172031
217.4056,0.89603106
219.4761,1.00000000
221.5466,0.97429592
223.6172,0.82402442
225.6877,0.61730663
227.7582,0.47061423
229.8288,0.49490708
231.8993,0.62823070
233.9698,0.64697914
236.0403,0.50189106
238.1109,0.34490220
240.1814,0.25282316
242.2519,0.20075739
244.3225,0.17884496
246.3930,0.18422309
248.4635,0.20686659
250.5341,0.21686352
252.6046,0.19665295
254.6751,0.17003898
256.7456,0.17095102
258.8162,0.20003275
260.8867,0.21474131
262.9572,0.18591993
265.0278,0.13795867
267.0983,0.12322227
269.1688,0.15029497
271.2393,0.19010111
273.3099,0.21761168
275.3804,0.21773411
277.4509,0.19245257
279.5215,0.14683968
281.5920,0.09453893
283.6625,0.05695250
285.7331,0.04104307
287.8036,0.03757352
289.8741,0.03902349
291.9446,0.04665617
294.0152,0.05272265
296.0857,0.04710376
298.1562,0.03882670
300.2268,0.03526401
302.2973,0.02712052
304.3678,0.02336004
306.4383,0.04109392
308.5089,0.05289206
310.5794,0.04630143
312.6499,0.06299275
314.7205,0.07732989
316.7910,0.04908769
318.8615,0.01667173
320.9321,0.01074830
323.0026,0.01690847
325.0731,0.02546482
327.1436,0.03063524
329.2142,0.02610744
331.2847,0.01710287
333.3552,0.00991734
335.4258,0.00700773
337.4963,0.00848069
339.5668,0.01142359
341.6373,0.01185519
343.7079,0.00945418
345.7784,0.00838403
347.8489,0.01030850
349.9195,0.01156877
351.9900,0.00936323
354.0605,0.00549673
356.1311,0.00338538
358.2016,0.00372541
360.2721,0.00475079
362.3426,0.00554114
364.4132,0.00579402
366.4837,0.00477324
368.5542,0.00299930
370.6248,0.00171174
372.6953,0.00113792
374.7658,0.00101006
376.8363,0.00105525
378.9069,0.00100057
380.9774,0.00076524
383.0479,0.00050356
385.1185,0.00040602
387.1890,0.00066679
389.2595,0.00125980
391.3301,0.00173278
393.4006,0.00172104
395.4711,0.00152388
397.5416,0.00195802
399.6122,0.00341778
401.6827,0.00538510
403.7532,0.00661185
405.8238,0.00623657
407.8943,0.00452800
409.9648,0.00262422
412.0353,0.00178540
414.1059,0.00222601
416.1764,0.00317929
418.2469,0.00374816
420.3175,0.00354474
422.3880,0.00271955
424.4585,0.00180716
426.5291,0.00140867
428.5996,0.00141964
430.6701,0.00131230
432.7406,0.00111987
434.8112,0.00128616
436.8817,0.00166653
438.9522,0.00165037
441.0228,0.00133596
443.0933,0.00105237
445.1638,0.00076087
447.2343,0.00053035
449.3049,0.00059873
451.3754,0.00094482
453.4459,0.00129553
455.5165,0.00143017
457.5870,0.00131384
459.6575,0.00106604
461.7281,0.00081338
463.7986,0.00069773
465.8691,0.00082954
467.9396,0.00109303
470.0102,0.00124836
472.0807,0.00124782
474.1512,0.00120820
476.2218,0.00114176
478.2923,0.00094730
480.3628,0.00066367
482.4333,0.00047846
484.5039,0.00041200
486.5744,0.00034274
488.6449,0.00026303
490.7155,0.00021791
492.7860,0.00019020
494.8565,0.00014452
496.9271,0.00009879
498.9976,0.00008308
501.0681,0.00008999
503.1386,0.00011017
505.2092,0.00013984
507.2797,0.00015003
509.3502,0.00012580
511.4208,0.00009036
513.4913,0.00007294
515.5618,0.00008113
517.6323,0.00009841
519.7029,0.00010506
521.7734,0.00010315
523.8439,0.00010254
525.9145,0.00010016
527.9850,0.00008648
530.0555,0.00006271
532.1261,0.00004198
534.1966,0.00003529
536.2671,0.00004631
538.3376,0.00006506
540.4082,0.00007291
542.4787,0.00005966
544.5492,0.00004460
546.6198,0.00005370
548.6903,0.00006900
550.7608,0.00006286
552.8313,0.00004970
554.9019,0.00005211
556.9724,0.00006801
559.0429,0.00008294
561.1135,0.00008492
563.1840,0.00007135
565.2545,0.00005029
567.3251,0.00003819
569.3956,0.00004896
571.4661,0.00008718
573.5366,0.00014071
575.6072,0.00018767
577.6777,0.00020442
579.7482,0.00017874
581.8188,0.00012773
583.8893,0.00008663
585.9598,0.00008620
588.0303,0.00012135
590.1009,0.00016380
592.1714,0.00018862
594.2419,0.00018867
596.3125,0.00017861
598.3830,0.00016994
600.4535,0.00016736
602.5241,0.00016896
604.5946,0.00017189
606.6651,0.00017133
608.7356,0.00016466
610.8062,0.00015401
612.8767,0.00014494
614.9472,0.00015557
617.0178,0.00019902
619.0883,0.00027284
621.1588,0.00035877
623.2293,0.00042773
625.2999,0.00045396
627.3704,0.00041603
629.4409,0.00031352
631.5115,0.00018283
633.5820,0.00007646
635.6525,0.00003187
637.7231,0.00005742
639.7936,0.00013722
641.8641,0.00023849
643.9346,0.00030977
646.0052,0.00030710
648.0757,0.00024873
650.1462,0.00019023
652.2168,0.00015629
654.2873,0.00016180
656.3578,0.00021983
658.4283,0.00025647
660.4989,0.00021002
662.5694,0.00015234
664.6399,0.00014083
666.7105,0.00016750
668.7810,0.00024486
670.8515,0.00032946
672.9220,0.00035391
674.9926,0.00039128
677.0631,0.00045148
679.1336,0.00042468
681.2042,0.00032003
683.2747,0.00020637
685.3452,0.00013610
687.4158,0.00016536
689.4863,0.00024880
691.5568,0.00029351
693.6273,0.00033214
695.6979,0.00035978
697.7684,0.00030058
699.8389,0.00023026
701.9095,0.00025042
703.9800,0.00029117
706.0505,0.00029262
708.1210,0.00030955
710.1916,0.00034860
712.2621,0.00035840
714.3326,0.00031757
716.4032,0.00022937
718.4737,0.00013552
720.5442,0.00008363
722.6148,0.00007429
724.6853,0.00008035
726.7558,0.00008113
728.8263,0.00006975
730.8969,0.00005342
732.9674,0.00004128
735.0379,0.00003392
737.1085,0.00002824
739.1790,0.00002309
741.2495,0.00001932
743.3200,0.00001607
745.3906,0.00001819
747.4611,0.00004026
749.5316,0.00008053
751.6022,0.00010985
753.6727,0.00010358
755.7432,0.00006638
757.8138,0.00002537
759.8843,0.00001587
761.9548,0.00007323
764.0253,0.00018722
766.0959,0.00027120
768.1664,0.00024181
770.2369,0.00012913
772.3075,0.00003447
774.3780,0.00001009
776.4485,0.00003190
778.5190,0.00005501
780.5896,0.00005669
782.6601,0.00004081
784.7306,0.00002361
786.8012,0.00001638
788.8717,0.00001849
790.9422,0.00002424
793.0128,0.00002839
795.0833,0.00002682
797.1538,0.00001893
799.2243,0.00001006
801.2949,0.00000803
803.3654,0.00001457
805.4359,0.00002332
807.5065,0.00002625
809.5770,0.00002067
811.6475,0.00001246
813.7180,0.00001134
815.7886,0.00001930
817.8591,0.00002784
819.9296,0.00002848
822.0002,0.00002091
824.0707,0.00001077
826.1412,0.00000389
828.2118,0.00000253
830.2823,0.00000491
832.3528,0.00000755
834.4233,0.00000805
836.4939,0.00000621
838.5644,0.00000337
840.6349,0.00000134
842.7055,0.00000102
844.7760,0.00000177
846.8465,0.00000226
848.9170,0.00000206
850.9876,0.00000164
853.0581,0.00000144
855.1286,0.00000139
857.1992,0.00000134
859.2697,0.00000151
861.3402,0.00000179
863.4108,0.00000210
865.4813,0.00000269
867.5518,0.00000330
869.6223,0.00000304
871.6929,0.00000191
873.7634,0.00000103
875.8339,0.00000095
877.9045,0.00000151
879.9750,0.00000242
882.0455,0.00000312
884.1160,0.00000282
886.1866,0.00000168
888.2571,0.00000083
890.3276,0.00000081
892.3982,0.00000141
894.4687,0.00000212
896.5392,0.00000243
898.6098,0.00000222
900.6803,0.00000192
902.7508,0.00000179
904.8213,0.00000161
906.8919,0.00000139
908.9624,0.00000131
911.0329,0.00000136
913.1035,0.00000147
915.1740,0.00000165
917.2445,0.00000168
919.3150,0.00000133
921.3856,0.00000072
923.4561,0.00000032
925.5266,0.00000051
927.5972,0.00000133
929.6677,0.00000238
931.7382,0.00000292
933.8088,0.00000265
935.8793,0.00000204
937.9498,0.00000146
940.0203,0.00000087
942.0909,0.00000061
944.1614,0.00000110
946.2319,0.00000189
948.3025,0.00000220
950.3730,0.00000186
952.4435,0.00000117
954.5140,0.00000062
956.5846,0.00000050
958.6551,0.00000070
960.7256,0.00000085
962.7962,0.00000069
964.8667,0.00000040
966.9372,0.00000022
969.0078,0.00000016
971.0783,0.00000018
973.1488,0.00000021
975.2193,0.00000020
977.2899,0.00000014
979.3604,0.00000013
981.4309,0.00000021
983.5015,0.00000034
985.5720,0.00000041
987.6425,0.00000037
989.7130,0.00000028
991.7836,0.00000024
993.8541,0.00000031
995.9246,0.00000052
997.9952,0.00000082
1000.0657,0.00000105
1002.1362,0.00000111
1004.2068,0.00000101
1006.2773,0.00000084
1008.3478,0.00000070
1010.4183,0.00000064
1012.4889,0.00000066
1014.5594,0.00000071
1016.6299,0.00000075
1018.7005,0.00000073
1020.7710,0.00000068
1022.8415,0.00000058
1024.9120,0.00000045
1026.9826,0.00000034
1029.0531,0.00000031
1031.1236,0.00000032
1033.1942,0.00000034
1035.2647,0.00000038
1037.3352,0.00000037
1039.4058,0.00000029
1041.4763,0.00000023
1043.5468,0.00000024
1045.6173,0.00000025
1047.6879,0.00000022
1049.7584,0.00000018
1051.8289,0.00000021
1053.8995,0.00000029
1055.9700,0.00000036
1058.0405,0.00000038
1060.1110,0.00000041
1062.1816,0.00000044
1064.2521,0.00000038
1066.3226,0.00000025
1068.3932,0.00000011
1070.4637,0.00000007
1072.5342,0.00000017
1074.6048,0.00000035
1076.6753,0.00000043
1078.7458,0.00000033
1080.8163,0.00000016
1082.8869,0.00000007
1084.9574,0.00000012
1087.0279,0.00000030
1089.0985,0.00000049
1091.1690,0.00000058
1093.2395,0.00000055
1095.3100,0.00000047
1097.3806,0.00000036
1099.4511,0.00000025
1101.5216,0.00000018
1103.5922,0.00000019
1105.6627,0.00000028
1107.7332,0.00000039
1109.8037,0.00000047
1111.8743,0.00000046
1113.9448,0.00000035
1116.0153,0.00000023
1118.0859,0.00000014
1120.1564,0.00000013
1122.2269,0.00000014
1124.2975,0.00000017
1126.3680,0.00000019
1128.4385,0.00000020
1130.5090,0.00000018
1132.5796,0.00000015
1134.6501,0.00000011
1136.7206,0.00000007
1138.7912,0.00000005
1140.8617,0.00000003
1142.9322,0.00000003
1145.0027,0.00000003
1147.0733,0.00000003
1149.1438,0.00000003
1151.2143,0.00000002
1153.2849,0.00000001
1155.3554,0.00000001
1157.4259,0.00000001
1159.4965,0.00000002
1161.5670,0.00000005
1163.6375,0.00000007
1165.7080,0.00000006
1167.7786,0.00000005
1169.8491,0.00000005
1171.9196,0.00000005
1173.9902,0.00000003
1176.0607,0.00000002
1178.1312,0.00000002
1180.2017,0.00000003
1182.2723,0.00000006
1184.3428,0.00000007
1186.4133,0.00000006
1188.4839,0.00000006
1190.5544,0.00000007
1192.6249,0.00000008
1194.6955,0.00000009
1196.7660,0.00000010
1198.8365,0.00000012
1200.9070,0.00000012
1202.9776,0.00000010
1205.0481,0.00000008
1207.1186,0.00000005
1209.1892,0.00000003
1211.2597,0.00000004
1213.3302,0.00000006
1215.4007,0.00000008
1217.4713,0.00000010
1219.5418,0.00000009
1221.6123,0.00000007
1223.6829,0.00000005
1225.7534,0.00000004
1227.8239,0.00000004
1229.8945,0.00000005
1231.9650,0.00000005
1234.0355,0.00000004
1236.1060,0.00000003
1238.1766,0.00000003
1240.2471,0.00000003
1242.3176,0.00000004
1244.3882,0.00000005
1246.4587,0.00000004
1248.5292,0.00000003
1250.5997,0.00000001
1252.6703,0.00000001
1254.7408,0.00000002
1256.8113,0.00000004
1258.8819,0.00000005
1260.9524,0.00000005
1263.0229,0.00000006
1265.0935,0.00000007
1267.1640,0.00000009
1269.2345,0.00000009
1271.3050,0.00000008
1273.3756,0.00000006
1275.4461,0.00000004
1277.5166,0.00000007
1279.5872,0.00000012
1281.6577,0.00000018
1283.7282,0.00000020
1285.7987,0.00000018
1287.8693,0.00000015
1289.9398,0.00000012
1292.0103,0.00000010
1294.0809,0.00000009
1296.1514,0.00000008
1298.2219,0.00000007
1300.2925,0.00000008
1302.3630,0.00000011
1304.4335,0.00000015
1306.5040,0.00000017
1308.5746,0.00000015
1310.6451,0.00000012
1312.7156,0.00000008
1314.7862,0.00000005
1316.8567,0.00000004
1318.9272,0.00000004
1320.9977,0.00000004
1323.0683,0.00000004
1325.1388,0.00000003
1327.2093,0.00000003
1329.2799,0.00000004
1331.3504,0.00000004
1333.4209,0.00000004
1335.4915,0.00000003
1337.5620,0.00000002
1339.6325,0.00000002
1341.7030,0.00000003
1343.7736,0.00000004
1345.8441,0.00000004
1347.9146,0.00000004
1349.9852,0.00000003
1352.0557,0.00000002
1354.1262,0.00000003
1356.1967,0.00000004
1358.2673,0.00000004
1360.3378,0.00000003
1362.4083,0.00000002
1364.4789,0.00000001
1366.5494,0.00000002
1368.6199,0.00000003
1370.6905,0.00000003
1372.7610,0.00000003
1374.8315,0.00000003
1376.9020,0.00000002
1378.9726,0.00000001
1381.0431,0.00000001
1383.1136,0.00000001
1385.1842,0.00000002
1387.2547,0.00000006
1389.3252,0.00000010
1391.3957,0.00000011
1393.4663,0.00000008
1395.5368,0.00000004
1397.6073,0.00000002
1399.6779,0.00000001
1401.7484,0.00000002
1403.8189,0.00000002
1405.8895,0.00000002
1407.9600,0.00000002
1410.0305,0.00000002
1412.1010,0.00000002
1414.1716,0.00000002
1416.2421,0.00000001
1418.3126,0.00000001
1420.3832,0.00000001
1422.4537,0.00000002
1424.5242,0.00000002
1426.5947,0.00000002
1428.6653,0.00000001
1430.7358,0.00000001
1432.8063,0.00000001
1434.8769,0.00000002
1436.9474,0.00000002
1439.0179,0.00000003
1441.0885,0.00000002
1443.1590,0.00000002
1445.2295,0.00000001
1447.3000,0.00000001
1449.3706,0.00000001
1451.4411,0.00000001
1453.5116,0.00000002
1455.5822,0.00000001
1457.6527,0.00000001
1459.7232,0.00000001
1461.7937,0.00000001
1463.8643,0.00000001
1465.9348,0.00000001
1468.0053,0.00000001
1470.0759,0.00000000
1472.1464,0.00000000
1474.2169,0.00000000
1476.2875,0.00000000
1478.3580,0.00000001
1480.4285,0.00000001
1482.4990,0.00000001
1484.5696,0.00000001
1486.6401,0.00000001
1488.7106,0.00000001
1490.7812,0.00000001
1492.8517,0.00000002
1494.9222,0.00000002
1496.9927,0.00000002
1499.0633,0.00000001
1501.1338,0.00000001
1503.2043,0.00000000
1505.2749,0.00000000
1507.3454,0.00000000
1509.4159,0.00000000
1511.4865,0.00000000
1513.5570,0.00000000
1515.6275,0.00000000
1517.6980,0.00000000
1519.7686,0.00000001
1521.8391,0.00000001
1523.9096,0.00000001
1525.9802,0.00000001
1528.0507,0.00000000
1530.1212,0.00000000
1532.1917,0.00000000
1534.2623,0.00000000
1536.3328,0.00000000
1538.4033,0.00000000
1540.4739,0.00000000
1542.5444,0.00000000
1544.6149,0.00000000
1546.6854,0.00000000
1548.7560,0.00000000
1550.8265,0.00000001
1552.8970,0.00000000
1554.9676,0.00000000
1557.0381,0.00000000
1559.1086,0.00000000
1561.1792,0.00000001
1563.2497,0.00000001
1565.3202,0.00000001
1567.3907,0.00000000
1569.4613,0.00000000
1571.5318,0.00000000
1573.6023,0.00000000
1575.6729,0.00000000
1577.7434,0.00000001
1579.8139,0.00000001
1581.8844,0.00000000
1583.9550,0.00000000
1586.0255,0.00000000
1588.0960,0.00000000
1590.1666,0.00000000
1592.2371,0.00000000
1594.3076,0.00000000
1596.3782,0.00000000
1598.4487,0.00000000
1600.5192,0.00000000
1602.5897,0.00000000
1604.6603,0.00000000
1606.7308,0.00000000
1608.8013,0.00000000
1610.8719,0.00000000
1612.9424,0.00000000
1615.0129,0.00000000
1617.0834,0.00000000
1619.1540,0.00000000
1621.2245,0.00000000
1623.2950,0.00000000
1625.3656,0.00000001
1627.4361,0.00000001
1629.5066,0.00000001
1631.5772,0.00000000
1633.6477,0.00000000
1635.7182,0.00000000
1637.7887,0.00000000
1639.8593,0.00000000
1641.9298,0.00000000
1644.0003,0.00000000
1646.0709,0.00000000
1648.1414,0.00000000
1650.2119,0.00000000
1652.2824,0.00000000
1654.3530,0.00000000
1656.4235,0.00000000
1658.4940,0.00000000
1660.5646,0.00000000
1662.6351,0.00000000
1664.7056,0.00000000
1666.7762,0.00000000
1668.8467,0.00000000
1670.9172,0.00000000
1672.9877,0.00000000
1675.0583,0.00000000
1677.1288,0.00000000
1679.1993,0.00000000
1681.2699,0.00000000
1683.3404,0.00000000
1685.4109,0.00000000
1687.4814,0.00000000
1689.5520,0.00000000
1691.6225,0.00000000
1693.6930,0.00000000
1695.7636,0.00000000
1697.8341,0.00000000
1699.9046,0.00000000
1701.9752,0.00000000
1704.0457,0.00000001
1706.1162,0.00000000
1708.1867,0.00000000
1710.2573,0.00000000
1712.3278,0.00000000
1714.3983,0.00000000
1716.4689,0.00000000
1718.5394,0.00000000
1720.6099,0.00000000
1722.6804,0.00000000
1724.7510,0.00000000
1726.8215,0.00000000
1728.8920,0.00000000
1730.9626,0.00000000
1733.0331,0.00000000
1735.1036,0.00000000
1737.1742,0.00000000
1739.2447,0.00000000
1741.3152,0.00000000
1743.3857,0.00000000
1745.4563,0.00000000
1747.5268,0.00000000
1749.5973,0.00000000
1751.6679,0.00000000
1753.7384,0.00000000
1755.8089,0.00000000
1757.8794,0.00000000
1759.9500,0.00000000
1762.0205,0.00000000
1764.0910,0.00000000
1766.1616,0.00000000
1768.2321,0.00000001
1770.3026,0.00000001
1772.3732,0.00000000
1774.4437,0.00000000
1776.5142,0.00000000
1778.5847,0.00000000
1780.6553,0.00000000
1782.7258,0.00000000
1784.7963,0.00000000
1786.8669,0.00000000
1788.9374,0.00000000
1791.0079,0.00000000
1793.0784,0.00000000
1795.1490,0.00000000
1797.2195,0.00000000
1799.2900,0.00000000
1801.3606,0.00000000
1803.4311,0.00000000
1805.5016,0.00000000
1807.5722,0.00000000
1809.6427,0.00000000
1811.7132,0.00000000
1813.7837,0.00000000
1815.8543,0.00000000
1817.9248,0.00000000
1819.9953,0.00000000
1822.0659,0.00000000
1824.1364,0.00000000
1826.2069,0.00000000
1828.2774,0.00000000
1830.3480,0.00000000
1832.4185,0.00000000
1834.4890,0.00000000
1836.5596,0.00000001
1838.6301,0.00000001
1840.7006,0.00000000
