# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-04-21T13:54:08.433788
frequency_cm-1,intensity_normalized
331.8023,0.02218277
663.6047,0.15558448
995.4070,0.45873545
1327.2093,0.81535453
1659.0117,1.00000000
1990.8140,0.94067831
2322.6163,0.76265407
2654.4187,0.61261321
2986.2210,0.53915315
3318.0233,0.50782384
3649.8257,0.49640936
3981.6280,0.50145408
4313.4303,0.52835578
