# IR spectrum — C₄H₆O₂  –  methyl vinyl ketone oxide (MVKO)
# Temperature: 300.0 K
# MD steps: 30000  Δt_eff: 0.5 fs
# Method: ML-PES (KRR) + ML dipole surface (KRR)
# Date: 2026-04-21T13:22:05.354866
frequency_cm-1,intensity_normalized
2.2476,0.00044251
4.4952,0.00084941
6.7428,0.00134965
8.9904,0.00190579
11.2380,0.00241182
13.4856,0.00279981
15.7332,0.00310150
17.9808,0.00326591
20.2284,0.00339176
22.4760,0.00352931
24.7236,0.00354317
26.9712,0.00348322
29.2188,0.00348195
31.4664,0.00350644
33.7140,0.00349472
35.9616,0.00346203
38.2092,0.00348381
40.4568,0.00366096
42.7044,0.00405541
44.9521,0.00482678
47.1997,0.00614861
49.4473,0.00795532
51.6949,0.01024967
53.9425,0.01317296
56.1901,0.01650017
58.4377,0.02019833
60.6853,0.02432024
62.9329,0.02825908
65.1805,0.03137545
67.4281,0.03308296
69.6757,0.03252906
71.9233,0.03006444
74.1709,0.02636363
76.4185,0.02228050
78.6661,0.01901038
80.9137,0.01706574
83.1613,0.01635638
85.4089,0.01676285
87.6565,0.01743843
89.9041,0.01789671
92.1517,0.01811745
94.3993,0.01795655
96.6469,0.01756786
98.8945,0.01718798
101.1421,0.01698349
103.3897,0.01725358
105.6373,0.01801285
107.8849,0.01936039
110.1325,0.02178067
112.3801,0.02476826
114.6277,0.02820810
116.8753,0.03249396
119.1229,0.03655058
121.3705,0.03984519
123.6181,0.04275795
125.8657,0.04452858
128.1133,0.04512520
130.3610,0.04574496
132.6086,0.04660151
134.8562,0.04783315
137.1038,0.05048403
139.3514,0.05469074
141.5990,0.05982034
143.8466,0.06631280
146.0942,0.07433392
148.3418,0.08276845
150.5894,0.09169268
152.8370,0.10151693
155.0846,0.11101661
157.3322,0.12021301
159.5798,0.12991302
161.8274,0.13925852
164.0750,0.14832950
166.3226,0.15792960
168.5702,0.16788249
170.8178,0.17814247
173.0654,0.18892695
175.3130,0.20112710
177.5606,0.21390373
179.8082,0.22682580
182.0558,0.24130673
184.3034,0.25581044
186.5510,0.26958594
188.7986,0.28436065
191.0462,0.29850274
193.2938,0.31187920
195.5414,0.32602751
197.7890,0.33998437
200.0366,0.35407137
202.2842,0.36809787
204.5318,0.38219233
206.7794,0.39639098
209.0270,0.40774021
211.2746,0.41839092
213.5222,0.42827955
215.7698,0.43294036
218.0175,0.43756497
220.2651,0.44155322
222.5127,0.44246248
224.7603,0.44538735
227.0079,0.44705298
229.2555,0.44776753
231.5031,0.45038129
233.7507,0.44974978
235.9983,0.45131872
238.2459,0.45737583
240.4935,0.46084381
242.7411,0.46889217
244.9887,0.47997549
247.2363,0.48087046
249.4839,0.47692031
251.7315,0.46810292
253.9791,0.44513029
256.2267,0.41794381
258.4743,0.39458704
260.7219,0.37364976
262.9695,0.36327567
265.2171,0.37828371
267.4647,0.42025947
269.7123,0.49080336
271.9599,0.59221103
274.2075,0.71341728
276.4551,0.83347330
278.7027,0.93314387
280.9503,0.98997048
283.1979,1.00000000
285.4455,0.96309581
287.6931,0.88995418
289.9407,0.79531211
292.1883,0.69232367
294.4359,0.59315462
296.6835,0.51098204
298.9311,0.44505913
301.1787,0.39382375
303.4264,0.35830436
305.6740,0.33195577
307.9216,0.30861051
310.1692,0.28872805
312.4168,0.26924381
314.6644,0.25118350
316.9120,0.23571301
319.1596,0.22167471
321.4072,0.21054765
323.6548,0.20035607
325.9024,0.19036252
328.1500,0.18238298
330.3976,0.17512851
332.6452,0.16983760
334.8928,0.16741120
337.1404,0.16711113
339.3880,0.16963945
341.6356,0.17413483
343.8832,0.18049494
346.1308,0.19105686
348.3784,0.20352745
