# Digitized MVKO experimental IR spectrum — Chung & Lee 2021
# # Source: Chung, C. A.; Lee, Y. P. Commun Chem 2021, 4(1), 8.  DOI: 10.1038/s42004-021-00444-6
# # Panel (a): anti-cis MVKO, 5-10 µs transient FTIR, "processed"
# # Digitization: pixel-intensity scan; achromatic+blue-marker trace;
# #   gray-box regions (1248-1464 & 1140-1245 cm-1) searched below top border.
# # Zero baseline (dashed line in figure) at panel_row 122.5/136.
# # Y-calibration: 4.21×10⁻⁵ ΔAbs per pixel from y=2×10⁻³ tick at row 75.
# # frequency_cm-1,delta_abs_raw,delta_abs_smoothed
1.442663000000000011e+03,1.241949999999999912e-03,1.242465536178172496e-03
1.441951999999999998e+03,1.241949999999999912e-03,1.244569800007110528e-03
1.441240999999999985e+03,1.157749999999999925e-03,1.252200031373512917e-03
1.440529999999999973e+03,1.157749999999999925e-03,1.270372491256548976e-03
1.439818999999999960e+03,1.452450000000000095e-03,1.299501452386759561e-03
1.439107999999999947e+03,1.536650000000000082e-03,1.330861575791586308e-03
1.438396999999999935e+03,1.368250000000000108e-03,1.353396705160901442e-03
1.437685999999999922e+03,1.284049999999999905e-03,1.364084788283070112e-03
1.436974999999999909e+03,1.368250000000000108e-03,1.367045779339896329e-03
1.436264000000000124e+03,1.368250000000000108e-03,1.364850111988498904e-03
1.435552999999999884e+03,1.368250000000000108e-03,1.351302183862239424e-03
1.434842000000000098e+03,1.536650000000000082e-03,1.309902862327884171e-03
1.434131000000000085e+03,3.094350000000000052e-03,1.229469188216740115e-03
1.433420000000000073e+03,9.051499999999999650e-04,1.130614434973270781e-03
1.432709000000000060e+03,9.051499999999999650e-04,1.059013210729907624e-03
1.431998000000000047e+03,9.472499999999999584e-04,1.045195907919171333e-03
1.431287000000000035e+03,9.893499999999999517e-04,1.085266672993351680e-03
1.430576000000000022e+03,1.284049999999999905e-03,1.148930887394994122e-03
1.429865000000000009e+03,1.284049999999999905e-03,1.199306177314918851e-03
1.429153999999999996e+03,1.241949999999999912e-03,1.217689181521345579e-03
1.428442999999999984e+03,1.241949999999999912e-03,1.208907799844932858e-03
1.427731999999999971e+03,9.051499999999999650e-04,1.188925712123066426e-03
1.427020999999999958e+03,9.051499999999999650e-04,1.174048333258784953e-03
1.426309999999999945e+03,1.157749999999999925e-03,1.175529055250749098e-03
1.425598999999999933e+03,1.157749999999999925e-03,1.199884830371129515e-03
1.424887999999999920e+03,1.199849999999999918e-03,1.246392530291995241e-03
1.424177000000000135e+03,1.368250000000000108e-03,1.300699971262858547e-03
1.423465999999999894e+03,1.368250000000000108e-03,1.344190178229730118e-03
1.422755000000000109e+03,1.368250000000000108e-03,1.373325121077147550e-03
1.422044000000000096e+03,1.368250000000000108e-03,1.397638285828966057e-03
1.421333000000000084e+03,2.968049999999999855e-03,1.421340141059816709e-03
1.420622000000000071e+03,1.452450000000000095e-03,1.439275763170535507e-03
1.419911000000000058e+03,1.536650000000000082e-03,1.447206643778789536e-03
1.419200000000000045e+03,1.536650000000000082e-03,1.444046058443164415e-03
1.418489000000000033e+03,1.452450000000000095e-03,1.425305641534365536e-03
1.417778000000000020e+03,1.452450000000000095e-03,1.384895823565197512e-03
1.417067000000000007e+03,1.284049999999999905e-03,1.325665463411541739e-03
1.416355999999999995e+03,1.284049999999999905e-03,1.259873208640682751e-03
1.415644999999999982e+03,1.157749999999999925e-03,1.198662342167725004e-03
1.414933999999999969e+03,1.157749999999999925e-03,1.147771229192789001e-03
1.414222999999999956e+03,9.893499999999999517e-04,1.110287845813162731e-03
1.413511999999999944e+03,9.893499999999999517e-04,1.087621720616007391e-03
1.412800999999999931e+03,1.073549999999999938e-03,1.077267468655688934e-03
1.412089999999999918e+03,1.073549999999999938e-03,1.072827480790156758e-03
1.411378999999999905e+03,1.073549999999999938e-03,1.066115062688622163e-03
1.410668000000000120e+03,1.073549999999999938e-03,1.047615434674399777e-03
1.409957000000000107e+03,1.073549999999999938e-03,1.011744190452962180e-03
1.409246000000000095e+03,7.367499999999999917e-04,9.669558095470378320e-04
1.408535000000000082e+03,7.367499999999999917e-04,9.310920777395792144e-04
1.407824000000000069e+03,6.525500000000000050e-04,9.126564866352988685e-04
1.407113000000000056e+03,9.051499999999999650e-04,9.063353159640485197e-04
1.406402000000000044e+03,9.051499999999999650e-04,9.031368096392812040e-04
1.405691000000000031e+03,9.051499999999999650e-04,8.938527079771559514e-04
1.404980000000000018e+03,9.051499999999999650e-04,8.660016669759852161e-04
1.404269000000000005e+03,9.051499999999999650e-04,8.106068161024135776e-04
1.403557999999999993e+03,6.525500000000000050e-04,7.358474344740114324e-04
1.402846999999999980e+03,6.525500000000000050e-04,6.590467880558635583e-04
1.402135999999999967e+03,6.525500000000000050e-04,5.867311599378343019e-04
1.401424999999999955e+03,3.578499999999999975e-04,5.226563504553799174e-04
1.400713999999999942e+03,3.578499999999999975e-04,4.807735186953823671e-04
1.400002999999999929e+03,2.736500000000000109e-04,4.728226313624761556e-04
1.399291999999999916e+03,4.420499999999999842e-04,4.967243461722028108e-04
1.398581000000000131e+03,5.683500000000000184e-04,5.376785554341375782e-04
1.397869999999999891e+03,6.104500000000000117e-04,5.755137270605746591e-04
1.397159000000000106e+03,6.104500000000000117e-04,5.979508187417720581e-04
1.396448000000000093e+03,6.525500000000000050e-04,6.055848063151640995e-04
1.395737000000000080e+03,6.525500000000000050e-04,6.034789940428490762e-04
1.395026000000000067e+03,6.525500000000000050e-04,5.952224954069179228e-04
1.394315000000000055e+03,5.262500000000000250e-04,5.860140845001637466e-04
1.393604000000000042e+03,4.841499999999999775e-04,5.863172283824660868e-04
1.392893000000000029e+03,5.262500000000000250e-04,6.106129482403016692e-04
1.392182000000000016e+03,5.683500000000000184e-04,6.689546321131989480e-04
1.391471000000000004e+03,8.209499999999999784e-04,7.542304067019516781e-04
1.390759999999999991e+03,8.209499999999999784e-04,8.438464491446585154e-04
1.390048999999999978e+03,9.893499999999999517e-04,9.162581670510867035e-04
1.389337999999999965e+03,9.893499999999999517e-04,9.613006453338435479e-04
1.388626999999999953e+03,9.893499999999999517e-04,9.822725042560004165e-04
1.387915999999999940e+03,9.893499999999999517e-04,9.916243990350571448e-04
1.387204999999999927e+03,9.893499999999999517e-04,1.002132865738072790e-03
1.386493999999999915e+03,9.893499999999999517e-04,1.020230367531581566e-03
1.385782999999999902e+03,1.073549999999999938e-03,1.042545496246643577e-03
1.385072000000000116e+03,1.073549999999999938e-03,1.059751086733540107e-03
1.384361000000000104e+03,1.115649999999999932e-03,1.065287188291951740e-03
1.383650000000000091e+03,1.073549999999999938e-03,1.056080661360780416e-03
1.382939000000000078e+03,1.073549999999999938e-03,1.029581969790833041e-03
1.382228000000000065e+03,9.893499999999999517e-04,9.893424875860208634e-04
1.381517000000000053e+03,9.051499999999999650e-04,9.490239436433085774e-04
1.380806000000000040e+03,9.051499999999999650e-04,9.218855508084076739e-04
1.380095000000000027e+03,9.051499999999999650e-04,9.096407873554508824e-04
1.379384000000000015e+03,9.051499999999999650e-04,9.058837878308117781e-04
1.378673000000000002e+03,9.051499999999999650e-04,9.045102987350464368e-04
1.377961999999999989e+03,9.893499999999999517e-04,9.012951577025130317e-04
1.377250999999999976e+03,9.893499999999999517e-04,8.913906176024902423e-04
1.376539999999999964e+03,9.051499999999999650e-04,8.700140903926196134e-04
1.375828999999999951e+03,8.209499999999999784e-04,8.361679793307604403e-04
1.375117999999999938e+03,8.209499999999999784e-04,7.919835154020271649e-04
1.374407000000000153e+03,7.367499999999999917e-04,7.388164763186347034e-04
1.373695999999999913e+03,6.946499999999999984e-04,6.776831855593374232e-04
1.372985000000000127e+03,6.104500000000000117e-04,6.124263425351675555e-04
1.372273999999999887e+03,5.262500000000000250e-04,5.508105280357543290e-04
1.371563000000000102e+03,4.841499999999999775e-04,5.013465312896721489e-04
1.370852000000000089e+03,4.420499999999999842e-04,4.685323148740134385e-04
1.370141000000000076e+03,4.420499999999999842e-04,4.511553194420053043e-04
1.369430000000000064e+03,4.420499999999999842e-04,4.436669610337406556e-04
1.368719000000000051e+03,4.420499999999999842e-04,4.387069376736960915e-04
1.368008000000000038e+03,4.420499999999999842e-04,4.291297606201291545e-04
1.367297000000000025e+03,4.420499999999999842e-04,4.111508514334706490e-04
1.366586000000000013e+03,3.578499999999999975e-04,3.887604171874980193e-04
1.365875000000000000e+03,2.736500000000000109e-04,3.709151254356480155e-04
1.365163999999999987e+03,1.894499999999999971e-04,3.623482997694300032e-04
1.364452999999999975e+03,2.736500000000000109e-04,3.623482997694300032e-04
1.363741999999999962e+03,3.578499999999999975e-04,3.709076130216688730e-04
1.363030999999999949e+03,3.578499999999999975e-04,3.886663306216396260e-04
1.362319999999999936e+03,4.420499999999999842e-04,4.104133073956692376e-04
1.361608999999999924e+03,4.420499999999999842e-04,4.253144491915922753e-04
1.360898000000000138e+03,4.420499999999999842e-04,4.253407426405190843e-04
1.360186999999999898e+03,4.420499999999999842e-04,4.107426103761736141e-04
1.359476000000000113e+03,3.578499999999999975e-04,3.912270756155019919e-04
1.358764999999999873e+03,3.578499999999999975e-04,3.839893182409739912e-04
1.358054000000000087e+03,3.578499999999999975e-04,4.070131479828818224e-04
1.357343000000000075e+03,3.578499999999999975e-04,4.667439545381281050e-04
1.356632000000000062e+03,6.525500000000000050e-04,5.444839198585422124e-04
1.355921000000000049e+03,6.525500000000000050e-04,6.071588763697155153e-04
1.355210000000000036e+03,6.525500000000000050e-04,6.393742082148366019e-04
1.354499000000000024e+03,6.525500000000000050e-04,6.500042798340958158e-04
1.353788000000000011e+03,6.525500000000000050e-04,6.525029567170708084e-04
1.353076999999999998e+03,6.525500000000000050e-04,6.547250700435087436e-04
1.352365999999999985e+03,6.525500000000000050e-04,6.638435358158544745e-04
1.351654999999999973e+03,6.525500000000000050e-04,6.914443355744211584e-04
1.350943999999999960e+03,6.525500000000000050e-04,7.450197416989212239e-04
1.350232999999999947e+03,3.094350000000000052e-03,8.105597728194843810e-04
1.349521999999999935e+03,9.051499999999999650e-04,8.564549534216903213e-04
1.348811000000000149e+03,9.051499999999999650e-04,8.594920553434542152e-04
1.348099999999999909e+03,9.051499999999999650e-04,8.187448746576079985e-04
1.347389000000000124e+03,6.946499999999999984e-04,7.535575060493417219e-04
1.346677999999999884e+03,6.525500000000000050e-04,6.901527247387936924e-04
1.345967000000000098e+03,6.525500000000000050e-04,6.399735085349724396e-04
1.345256000000000085e+03,6.104500000000000117e-04,5.983013359612441521e-04
1.344545000000000073e+03,5.262500000000000250e-04,5.619913846537506578e-04
1.343834000000000060e+03,5.262500000000000250e-04,5.328013437527718632e-04
1.343123000000000047e+03,5.262500000000000250e-04,5.084406778253803280e-04
1.342412000000000035e+03,4.841499999999999775e-04,4.848367445478826481e-04
1.341701000000000022e+03,4.420499999999999842e-04,4.633472705567007622e-04
1.340990000000000009e+03,3.578499999999999975e-04,4.466099763896461019e-04
1.340278999999999996e+03,3.578499999999999975e-04,4.309141738165902591e-04
1.339567999999999984e+03,3.157500000000000042e-04,4.093118825401012052e-04
1.338856999999999971e+03,4.420499999999999842e-04,3.804359288592338174e-04
1.338145999999999958e+03,5.262500000000000250e-04,3.488878232551249144e-04
1.337434999999999945e+03,4.841499999999999775e-04,3.195145119386181426e-04
1.336723999999999933e+03,2.736500000000000109e-04,2.963132472384870418e-04
1.336012999999999920e+03,1.894499999999999971e-04,2.820102629902247770e-04
1.335302000000000135e+03,2.736500000000000109e-04,2.750787879020238956e-04
1.334590999999999894e+03,2.736500000000000109e-04,2.695656374289051626e-04
1.333880000000000109e+03,2.736500000000000109e-04,2.569652486815110428e-04
1.333169000000000096e+03,2.736500000000000109e-04,2.297798125636810510e-04
1.332458000000000084e+03,1.894499999999999971e-04,1.894500000000000242e-04
1.331747000000000071e+03,1.052499999999999969e-04,1.491239436433085144e-04
1.331036000000000058e+03,1.052499999999999969e-04,1.219855508084077600e-04
1.330325000000000045e+03,1.052499999999999969e-04,1.097482997694300161e-04
1.329614000000000033e+03,1.052499999999999969e-04,1.063257840579805646e-04
1.328903000000000020e+03,1.052499999999999969e-04,1.084564556531645793e-04
1.328192000000000007e+03,1.052499999999999969e-04,1.294725108307703940e-04
1.326058999999999969e+03,1.052499999999999969e-04,2.294788939743986592e-04
1.325347999999999956e+03,1.052499999999999969e-04,5.333130637380047775e-04
1.324636999999999944e+03,1.052499999999999969e-04,1.125281073940770067e-03
1.322503999999999905e+03,2.883849999999999868e-03,1.865888612050905409e-03
1.321793000000000120e+03,2.883849999999999868e-03,2.465216997143488114e-03
1.321081999999999880e+03,3.094350000000000052e-03,2.792048703200075092e-03
1.320371000000000095e+03,3.094350000000000052e-03,2.936892263517005934e-03
1.319660000000000082e+03,1.052499999999999969e-04,3.013721190696617373e-03
1.318949000000000069e+03,1.052499999999999969e-04,3.058334420076242680e-03
1.318238000000000056e+03,3.094350000000000052e-03,3.058889252159633851e-03
1.317527000000000044e+03,3.094350000000000052e-03,2.958875356602026687e-03
1.316816000000000031e+03,3.094350000000000052e-03,2.633642903707823259e-03
1.316105000000000018e+03,3.094350000000000052e-03,1.997278099505131032e-03
1.315394000000000005e+03,1.052499999999999969e-04,1.202303119459921608e-03
1.314682999999999993e+03,1.052499999999999969e-04,5.657218798775311185e-04
1.313971999999999980e+03,1.052499999999999969e-04,2.388976862349231206e-04
1.313260999999999967e+03,1.052499999999999969e-04,1.313935545596793401e-04
1.312549999999999955e+03,1.052499999999999969e-04,1.093238609187849347e-04
1.311838999999999942e+03,1.052499999999999969e-04,1.092812026348762038e-04
1.311128000000000156e+03,1.052499999999999969e-04,1.182210388697896216e-04
1.309706000000000131e+03,3.094350000000000052e-03,1.361529047735189168e-04
1.308994999999999891e+03,1.052499999999999969e-04,1.585470952264810907e-04
1.308284000000000106e+03,1.894499999999999971e-04,1.764789611302103995e-04
1.307573000000000093e+03,1.894499999999999971e-04,1.856854880613818587e-04
1.306862000000000080e+03,1.894499999999999971e-04,1.887237245831672452e-04
1.306151000000000067e+03,1.894499999999999971e-04,1.894575124139791125e-04
1.305440000000000055e+03,1.894499999999999971e-04,1.902703619826911694e-04
1.304729000000000042e+03,1.052499999999999969e-04,1.939482997694300028e-04
